Measurement Name :,20190116_resp,,Generated On :,"16/01/2019, 16:19:41",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
Start Date/Time:,"16/01/2019, 15:55:16",,,,,,Batch No.:  ,PSt5-1814-01,,,,,,,,,,,,,,,,,,,,,,,
End Date/Time:,"16/01/2019, 16:19:14",,,,,,O2_cal0 [°],54.84,,,,,,,,,,,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.47,,,,,,,,,,,,,,,,,,,,,,,
SDR Serial No. :,S-641,,,,,,O2_T0 [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],22.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],968,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
16.01.19 15:55:18,0.03,381.31,357.92,317.13,347.73,360.62,344,339.74,354.16,376.92,356.85,334.45,352.55,342.93,332.34,350.4,342.4,339.21,330.23,327.6,347.2,341.87,348.26,319.74,337.09,,8.5,968,28,9.37,
16.01.19 15:55:33,0.28,368.74,353.08,309.86,342.4,355.77,339.21,334.98,349.33,372.01,350.94,330.75,341.34,338.15,327.6,346.13,338.15,331.81,325.5,321.31,344,335.5,342.4,316.61,333.92,,8.5,968,28,9.43,
16.01.19 15:55:48,0.53,362.78,352.55,310.9,342.4,356.85,338.15,337.09,350.4,372.55,352.01,330.23,340.27,337.62,326.02,345.06,338.68,331.81,325.5,318.7,344,333.92,342.4,316.61,332.34,,8.5,968,28,9.47,
16.01.19 15:56:03,0.78,360.08,352.55,305.21,340.81,354.69,337.09,336.03,348.26,369.83,350.94,328.65,339.21,337.09,322.88,341.87,337.62,331.28,324.97,317.65,343.46,332.86,341.87,315.05,331.81,,8.5,968,28,9.52,
