Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,Error
09.08.18 17:07:00,0.03,202.49,231.57,303.46,307.44,212.49,245.61,307,306.56,214.5,229.52,291.17,307,186.71,174.27,309.66,307.89,183.2,225.84,309.66,323.53,216.11,220.15,369.2,312.78,
09.08.18 17:07:15,0.28,201.7,229.93,302.58,306.11,210.48,243.94,305.67,305.67,213.69,227.88,290.3,307,184.76,170.42,308.77,306.56,181.64,223.4,308.33,319.04,214.1,217.32,365.43,308.77,
09.08.18 17:07:30,0.53,201.7,230.34,301.25,305.67,209.28,241.87,303.9,303.46,209.28,226.66,289.87,305.67,183.2,169.27,307.44,304.34,180.09,219.75,304.34,314.56,212.09,215.31,362.61,303.9,
09.08.18 17:07:45,0.78,198.52,228.29,303.02,304.79,206.88,239.8,301.7,301.7,207.28,226.25,289,305.23,181.64,166.97,306.11,302.58,178.14,216.52,303.02,312.33,210.88,213.29,359.34,302.58,
09.08.18 17:08:00,1.03,201.3,227.07,298.61,303.9,207.28,237.74,301.7,300.81,206.08,224.21,288.56,304.34,180.47,167.35,305.67,300.81,177.76,214.5,301.7,309.66,208.88,211.28,357,300.37,
09.08.18 17:08:15,1.28,194.18,224.62,299.49,303.02,202.89,236.5,300.37,299.49,204.48,224.21,288.13,303.9,179.31,165.05,304.34,299.93,176.59,212.49,300.81,307.89,206.88,209.28,353.74,299.49,
09.08.18 17:08:31,1.55,195.36,223.4,297.3,301.7,203.29,234.44,297.3,299.05,202.89,222.99,287.26,303.02,177.76,165.82,303.46,298.61,175.43,209.68,299.05,305.67,205.28,206.88,350.49,298.18,
09.08.18 17:08:46,1.8,190.63,221.78,297.3,300.81,199.71,234.44,296.86,297.3,201.3,222.18,286.39,301.7,176.59,163.52,302.58,296.86,174.27,206.88,298.18,303.9,202.89,205.28,347.26,295.98,
09.08.18 17:09:01,2.05,191.03,220.56,296.42,299.49,198.92,231.98,297.3,296.42,200.51,222.18,285.96,300.81,175.43,163.9,302.14,296.42,174.27,206.08,297.3,302.14,201.3,203.29,344.49,295.11,
09.08.18 17:09:16,2.3,190.63,218.94,293.79,298.61,196.15,232.39,296.42,295.54,199.32,220.97,285.52,299.93,174.27,162.38,300.81,295.11,174.27,204.88,295.98,300.37,198.92,201.7,341.27,293.79,
09.08.18 17:09:31,2.55,186.71,217.73,295.11,297.74,192.99,229.11,295.11,294.67,198.52,220.56,284.66,299.49,173.5,163.14,300.37,294.67,172.73,203.29,295.11,299.05,197.34,200.11,338.06,292.05,
09.08.18 17:09:46,2.8,188.28,215.71,292.92,296.86,192.6,229.52,292.92,293.36,197.34,218.94,284.66,298.18,172.73,160.85,300.37,293.36,171.19,201.7,294.23,297.74,195.75,197.73,334.87,291.17,
09.08.18 17:10:01,3.05,182.03,208.88,292.92,295.98,189.85,228.29,292.48,293.79,195.75,219.75,284.22,297.74,171.58,161.62,299.05,292.92,169.27,199.71,293.36,296.86,194.18,195.36,332.59,289.43,
09.08.18 17:10:16,3.3,183.98,208.08,292.48,295.54,190.24,227.47,292.05,292.48,194.18,217.73,283.79,296.86,170.81,159.71,299.05,292.05,167.35,197.73,292.48,295.54,192.6,192.6,329.87,288.13,
09.08.18 17:10:31,3.55,181.25,205.28,290.3,294.23,188.67,226.66,292.05,292.05,194.57,217.73,283.36,295.98,170.04,161.23,297.74,291.17,165.43,192.21,292.05,294.67,191.03,190.63,327.6,287.69,
09.08.18 17:10:46,3.8,180.47,203.69,290.3,293.36,187.5,225.44,292.05,291.17,192.99,215.71,282.92,294.67,168.88,158.57,298.18,290.74,162.76,194.57,291.17,293.79,189.46,189.06,324.89,285.96,
09.08.18 17:11:01,4.05,180.09,202.89,289,292.92,185.93,224.62,291.61,290.3,191.03,214.9,282.06,294.23,167.73,160.09,297.3,289.87,160.47,192.21,290.3,292.48,187.5,186.71,322.18,285.09,
09.08.18 17:11:16,4.3,178.14,200.9,287.69,292.05,184.37,222.99,290.3,290.3,189.46,213.69,282.06,293.79,166.97,157.05,297.3,289,158.57,188.67,289.43,291.17,185.93,185.15,319.49,284.22,
09.08.18 17:11:31,4.55,178.14,200.51,288.13,291.17,183.2,222.99,288.13,289.43,188.67,212.89,280.77,292.92,165.43,156.67,296.42,288.56,157.43,183.98,289,290.3,184.37,183.2,317.69,282.49,
09.08.18 17:11:46,4.8,175.05,198.92,286.82,290.3,183.2,220.97,288.56,289,187.1,211.28,280.77,292.05,164.67,154.02,295.54,287.69,156.67,180.86,288.56,289.87,182.81,181.25,314.56,281.2,
09.08.18 17:12:01,5.05,175.43,197.73,287.69,289.43,181.25,221.78,288.56,288.56,185.93,210.88,280.77,291.61,163.9,153.65,295.54,287.26,155.92,178.53,287.69,288.56,181.25,179.31,313.22,280.77,
09.08.18 17:12:16,5.3,174.27,197.34,285.96,289.43,181.25,220.15,289,288.13,184.76,209.28,280.33,290.74,162.38,150.63,295.54,286.82,155.54,174.66,287.26,288.13,180.09,177.76,311,279.9,
09.08.18 17:12:31,5.55,172.73,194.96,284.66,287.69,180.09,219.75,288.13,286.82,182.81,208.08,279.47,290.3,160.47,150.25,294.67,285.52,154.78,169.27,286.82,286.82,178.14,175.43,308.77,278.18,
09.08.18 17:12:46,5.8,173.12,195.36,285.09,287.26,178.92,218.94,286.39,286.82,182.03,207.68,279.47,289.87,159.71,147.62,294.67,285.52,154.02,165.82,285.96,286.39,177.37,173.5,307.44,277.75,
09.08.18 17:13:01,6.05,169.27,194.18,283.36,286.82,176.59,217.32,286.39,286.39,180.47,207.68,279.04,289,158.57,148.37,293.79,285.09,152.14,162.76,285.52,285.09,175.43,170.42,305.23,276.89,
