sample,mass,salinity,Sample.ID,Type, Notes
20180713_JUNK,60.5603,29,JUNK,JUNK,
20180713_CRM1,59.1101,33.481,CRM1,CRM, Bottle #168-0946
20180713_CRM2,60.3692,33.481,CRM2,CRM, Bottle #168-0946
