sample,mass,salinity,Sample.ID,Type, Notes
20180811_H0_T,60.7023,28.73,H0_T,heath_tray,
20180811_H0_B,60.4734,28.9,H0_B,heath_tray,
20180811_H1_T,60.4374,28.87,H1_T,heath_tray,
20180811_H1_B,60.3228,28.84,H1_B,heath_tray,
20180811_H2_T,60.3841,28.86,H2_T,heath_tray,
20180811_H2_B,60.6105,28.84,H2_B,heath_tray,
20180811_H3_T,60.2539,28.82,H3_T,heath_tray,
20180811_H3_B,60.9001,28.85,H3_B,heath_tray,
