Date,ID,tank,SDR_position,number_indivs,b1.Lz,b1.Leq,b1.Lpc,ci.Lz,ci.Leq,ci.Lpc,alpha,Notes
20180716,H3_T_blank_C5,H3_T_blank,C5,NA,-1.515514516,-1.6652725,-1.644113816,0.112637541,0.08249093,0.051949555,0.2,good
20180716,H3_T_blank_C6,H3_T_blank,C6,NA,-4.766060067,-4.766060067,-1.654579099,0.554563117,0.554563117,0.102578374,0.2,good
20180716,H2_B_blank_D1,H2_B_blank,D1,NA,-1.408790323,-1.408790323,-1.420468169,0.096297923,0.096297923,0.062208553,0.2,good
20180716,H2_B_blank_D2,H2_B_blank,D2,NA,-1.053490165,-1.028402272,-1.089276289,0.066663388,0.057611557,0.034927982,0.2,good
20180716,H2_B_blank_D3,H2_B_blank,D3,NA,-1.540354839,-1.540354839,-1.439048908,0.107080033,0.107080033,0.073347859,0.2,good
20180716,H3_B_blank_D4,H3_B_blank,D4,NA,-1.573870968,-1.573870968,-1.671189436,0.094038816,0.094038816,0.058654867,0.2,good
20180716,H3_B_blank_D5,H3_B_blank,D5,NA,-2.625201465,-2.087838828,-1.315496831,0.281736137,0.211262492,0.073337062,0.2,good double peak
20180716,H3_B_blank_D6,H3_B_blank,D6,NA,-1.496671188,-1.496671188,-1.08571201,0.251419496,0.251419496,0.089253599,0.2,good
20180719,H0_T_A1,H0_T,A1,NA,-0.949700156,-0.949700156,-1.104611926,0.131384099,0.131384099,0.119376472,0.2,good
20180719,H0_T_A2,H0_T,A2,NA,-1.718013136,-1.718013136,-2.19483683,0.303703941,0.303703941,0.180735758,0.2,good
20180719,H0_T_A3,H0_T,A3,NA,-2.557924201,-2.557924201,-2.095935406,0.1047108,0.1047108,0.049996219,0.2,good
20180719,H1_T_A4,H1_T,A4,NA,-1.606224287,-1.606224287,-2.486083893,0.180657327,0.180657327,0.087564641,0.2,good
20180719,H1_T_A5,H1_T,A5,NA,-5.159924677,-5.159924677,-5.147732272,0.145578871,0.145578871,0.114438648,0.2,REDONE
20180719,H1_T_A6,H1_T,A6,NA,-3.575657281,-3.575657281,-3.511102343,0.088451624,0.088451624,0.091110774,0.2,good
20180719,H0_B_B1,H0_B,B1,NA,-1.717437931,-1.717437931,-1.727168457,0.088237493,0.088237493,0.063891844,0.2,good
20180719,H0_B_B2,H0_B,B2,NA,-0.43443379,-0.43443379,-1.166108596,0.221382089,0.221382089,0.081701454,0.2,good
20180719,H0_B_B3,H0_B,B3,NA,-1.860909711,-1.860909711,-1.867510217,0.076512673,0.076512673,0.077214077,0.2,good - second peak
20180719,H1_B_B4,H1_B,B4,NA,-1.42450723,-1.377983871,-1.5306185,0.175155729,0.120190751,0.159575944,0.2,"good - on second peak, stronger first peak "
20180719,H1_B_B5,H1_B,B5,NA,-2.543527217,-2.543527217,-2.706905188,0.068266209,0.068266209,0.053461361,0.2,good
20180719,H1_B_B6,H1_B,B6,NA,-2.086271204,-2.086271204,-2.084666602,0.077982241,0.077982241,0.045022085,0.2,good
20180719,H0_T_blank_C1,H0_T_blank,C1,NA,-0.249710274,-0.249710274,-0.862170256,0.106247477,0.106247477,0.048986809,0.2,good
20180719,H0_T_blank_C2,H0_T_blank,C2,NA,-0.856453202,-0.856453202,-0.845393551,0.109596686,0.109596686,0.033744484,0.2,good
20180719,H0_T_blank_C3,H0_T_blank,C3,NA,-0.869457289,-0.869457289,-0.871032064,0.101288182,0.101288182,0.027306438,0.2,good
20180719,H1_T_blank_C4,H1_T_blank,C4,NA,-0.739386973,-0.70452364,-1.173678945,0.113262418,0.088809732,0.048985703,0.2,good
20180719,H1_T_blank_C5,H1_T_blank,C5,NA,-0.989599833,-0.989599833,-0.806698257,0.087916384,0.087916384,0.031989882,0.2,good
