"Sample.ID","Date","RUN","SDR_position","b1.Lpc","alpha","Notes","ID","tank","Day_Trial","Treat1_Treat2","number_indivs","mean_size","stdev_size"
"20180716_A1_1","20180716",1,"A1",-3.14285483870968,0.2,"all","H0_T_A1","H0_T","2_1","Low",10,5.11,0.789080618
"20180716_A1_2","20180716",2,"A1",-1.89508819461979,0.2,"all","H2_T_A1","H2_T","2_1","Ambient",10,5.3568,0.578412348
"20180716_A2_1","20180716",1,"A2",-1.90154182048075,0.2,"all","H0_T_A2","H0_T","2_1","Low",10,4.8881,0.48520155
"20180716_A2_2","20180716",2,"A2",-2.73820728291316,0.2,"all","H2_T_A2","H2_T","2_1","Ambient",10,5.198666667,0.502254666
"20180716_A3_1","20180716",1,"A3",-1.15105832580758,0.2,"all","H0_T_A3","H0_T","2_1","Low",10,5.0461,0.646158985
"20180716_A3_2","20180716",2,"A3",-1.76593686293735,0.2,"all","H2_T_A3","H2_T","2_1","Ambient",10,5.0571,0.632988406
"20180716_A4_1","20180716",1,"A4",-3.86259758455909,0.2,"all","H1_T_A4","H1_T","2_1","Ambient",10,5.4484,0.513445918
"20180716_A4_2","20180716",2,"A4",-3.22265628476084,0.2,"all","H3_T_A4","H3_T","2_1","Low",10,5.141,1.102219276
"20180716_A5_1","20180716",1,"A5",-4.14695395501905,0.2,"all","H1_T_A5","H1_T","2_1","Ambient",10,4.6701,0.484538601
"20180716_A5_2","20180716",2,"A5",-5.62346256684493,0.2,"all","H3_T_A5","H3_T","2_1","Low",10,5.047,0.626443932
"20180716_A6_1","20180716",1,"A6",-1.48361191749426,0.2,"all","H1_T_A6","H1_T","2_1","Ambient",10,4.7848,0.41064659
"20180716_A6_2","20180716",2,"A6",-2.27062448499568,0.2,"all","H3_T_A6","H3_T","2_1","Low",10,5.555,0.805278282
"20180716_B1_1","20180716",1,"B1",-1.38365266106443,0.2,"all","H0_B_B1","H0_B","2_1","Low",10,4.955222222,0.76225435
"20180716_B1_2","20180716",2,"B1",-3.53377752411463,0.2,"all","H2_B_B1","H2_B","2_1","Ambient",10,5.2332,0.633533617
"20180716_B2_1","20180716",1,"B2",-1.90517595307918,0.2,"all","H0_B_B2","H0_B","2_1","Low",10,4.542333333,0.527640503
"20180716_B2_2","20180716",2,"B2",-3.37505721153403,0.2,"all","H2_B_B2","H2_B","2_1","Ambient",10,5.1857,0.707673347
"20180716_B3_1","20180716",1,"B3",-1.57448353594586,0.2,"all","H0_B_B3","H0_B","2_1","Low",10,4.8361,0.731635831
"20180716_B3_2","20180716",2,"B3",-1.85677618149738,0.2,"all","H2_B_B3","H2_B","2_1","Ambient",10,5.0895,0.666986798
"20180716_B4_1","20180716",1,"B4",-2.98811290322581,0.2,"all","H1_B_B4","H1_B","2_1","Ambient",10,5.2358,0.62373406
"20180716_B4_2","20180716",2,"B4",-2.92046107660224,0.2,"all","H3_B_B4","H3_B","2_1","Low",10,5.2077,0.357929555
"20180716_B5_1","20180716",1,"B5",-2.09433167893556,0.2,"all","H1_B_B5","H1_B","2_1","Ambient",10,4.8474,0.626882622
"20180716_B5_2","20180716",2,"B5",-2.84087139145174,0.2,"all","H3_B_B5","H3_B","2_1","Low",10,5.4425,0.692098781
"20180716_B6_1","20180716",1,"B6",-3.43998709186061,0.2,"all","H1_B_B6","H1_B","2_1","Ambient",10,4.8124,0.642795319
"20180716_B6_2","20180716",2,"B6",-2.2389125737203,0.2,"all","H3_B_B6","H3_B","2_1","Low",10,5.135222222,0.556309441
"20180716_C1_1","20180716",1,"C1",-1.10529530594856,0.2,"all","H0_T_blank_C1","H0_T_blank","2_1","Low",10,NA,NA
"20180716_C1_2","20180716",2,"C1",-1.20617544870101,0.2,"all","H2_T_blank_C1","H2_T_blank","2_1","Ambient",10,NA,NA
"20180716_C2_1","20180716",1,"C2",-1.08792529361276,0.2,"all","H0_T_blank_C2","H0_T_blank","2_1","Low",10,NA,NA
"20180716_C2_2","20180716",2,"C2",-1.51604417577724,0.2,"all","H2_T_blank_C2","H2_T_blank","2_1","Ambient",10,NA,NA
"20180716_C3_1","20180716",1,"C3",-0.746522234673792,0.2,"all","H0_T_blank_C3","H0_T_blank","2_1","Low",10,NA,NA
"20180716_C3_2","20180716",2,"C3",-1.79551286449399,0.2,"all","H2_T_blank_C3","H2_T_blank","2_1","Ambient",10,NA,NA
"20180716_C4_1","20180716",1,"C4",-0.796328392332439,0.2,"all","H1_T_blank_C4","H1_T_blank","2_1","Ambient",10,NA,NA
"20180716_C4_2","20180716",2,"C4",-1.11651966108197,0.2,"all","H3_T_blank_C4","H3_T_blank","2_1","Low",10,NA,NA
"20180716_C5_1","20180716",1,"C5",-1.14762500423223,0.2,"all","H1_T_blank_C5","H1_T_blank","2_1","Ambient",10,NA,NA
"20180716_C5_2","20180716",2,"C5",-1.64411381567182,0.2,"all","H3_T_blank_C5","H3_T_blank","2_1","Low",10,NA,NA
"20180716_C6_1","20180716",1,"C6",-1.73759168035029,0.2,"all","H1_T_blank_C6","H1_T_blank","2_1","Ambient",10,NA,NA
"20180716_C6_2","20180716",2,"C6",-1.6545790985993,0.2,"all","H3_T_blank_C6","H3_T_blank","2_1","Low",10,NA,NA
"20180716_D1_1","20180716",1,"D1",-1.21719595250028,0.2,"all","H0_B_blank_D1","H0_B_blank","2_1","Low",10,NA,NA
"20180716_D1_2","20180716",2,"D1",-1.42046816932067,0.2,"all","H2_B_blank_D1","H2_B_blank","2_1","Ambient",10,NA,NA
"20180716_D2_1","20180716",1,"D2",-1.10377539227699,0.2,"all","H0_B_blank_D2","H0_B_blank","2_1","Low",10,NA,NA
"20180716_D2_2","20180716",2,"D2",-1.08927628891531,0.2,"all","H2_B_blank_D2","H2_B_blank","2_1","Ambient",10,NA,NA
"20180716_D3_1","20180716",1,"D3",-1.10103090633574,0.2,"all","H0_B_blank_D3","H0_B_blank","2_1","Low",10,NA,NA
"20180716_D3_2","20180716",2,"D3",-1.4390489079693,0.2,"all","H2_B_blank_D3","H2_B_blank","2_1","Ambient",10,NA,NA
"20180716_D4_1","20180716",1,"D4",-0.991351094878366,0.2,"all","H1_B_blank_D4","H1_B_blank","2_1","Ambient",10,NA,NA
"20180716_D4_2","20180716",2,"D4",-1.67118943577431,0.2,"all","H3_B_blank_D4","H3_B_blank","2_1","Low",10,NA,NA
"20180716_D5_1","20180716",1,"D5",-1.2529131991947,0.2,"all","H1_B_blank_D5","H1_B_blank","2_1","Ambient",10,NA,NA
"20180716_D5_2","20180716",2,"D5",-1.31549683051116,0.2,"all","H3_B_blank_D5","H3_B_blank","2_1","Low",10,NA,NA
"20180716_D6_1","20180716",1,"D6",-1.47864415067775,0.2,"all","H1_B_blank_D6","H1_B_blank","2_1","Ambient",10,NA,NA
"20180716_D6_2","20180716",2,"D6",-1.08571201048375,0.2,"all","H3_B_blank_D6","H3_B_blank","2_1","Low",10,NA,NA
"20180719_A1_1","20180719",1,"A1",-1.10461192602104,0.2,"all","H0_T_A1","H0_T","5_1","Low",10,5.2944,0.311382295
"20180719_A1_2","20180719",2,"A1",-2.20761522186902,0.2,"all","H2_T_A1","H2_T","5_1","Ambient",10,5.2024,0.416551237
"20180719_A2_1","20180719",1,"A2",-2.19483682987058,0.2,"all","H0_T_A2","H0_T","5_1","Low",10,5.1528,0.550306339
"20180719_A2_2","20180719",2,"A2",-1.93001583289376,0.2,"all","H2_T_A2","H2_T","5_1","Ambient",10,4.743,0.679129017
"20180719_A3_1","20180719",1,"A3",-2.09593540621168,0.2,"all","H0_T_A3","H0_T","5_1","Low",10,4.7914,0.455908909
"20180719_A3_2","20180719",2,"A3",-3.16721564163829,0.2,"all","H2_T_A3","H2_T","5_1","Ambient",10,4.7867,0.646806351
"20180719_A4_1","20180719",1,"A4",-2.48608389330617,0.2,"all","H1_T_A4","H1_T","5_1","Ambient",10,5.0174,0.801409481
"20180719_A4_2","20180719",2,"A4",-1.59062931577957,0.2,"all","H3_T_A4","H3_T","5_1","Low",10,5.393777778,0.413674322
"20180719_A5_1","20180719",1,"A5",-5.14773227215418,0.2,"all","H1_T_A5","H1_T","5_1","Ambient",10,5.0243,0.601912332
"20180719_A5_2","20180719",2,"A5",-1.33637544169351,0.2,"all","H3_T_A5","H3_T","5_1","Low",10,5.3153,0.425094512
"20180719_A6_1","20180719",1,"A6",-3.51110234279265,0.2,"all","H1_T_A6","H1_T","5_1","Ambient",10,5.252,0.522592044
"20180719_A6_2","20180719",2,"A6",-1.31726511050848,0.2,"all","H3_T_A6","H3_T","5_1","Low",10,5.3695,0.808668625
"20180719_B1_1","20180719",1,"B1",-1.72716845667434,0.2,"all","H0_B_B1","H0_B","5_1","Low",10,4.8237,0.754307048
"20180719_B1_2","20180719",2,"B1",-2.05447873901501,0.2,"all","H2_B_B1","H2_B","5_1","Ambient",10,5.4275,0.511151261
"20180719_B2_1","20180719",1,"B2",-1.16610859572107,0.2,"all","H0_B_B2","H0_B","5_1","Low",10,4.9948,0.671066614
