Sample.ID,Date,RUN,SDR_position,b1.Lpc,alpha,Notes,ID,tank,Day_Trial,Treat1_Treat2,number_indivs,mean_size,stdev_size
20180716_A1_1,20180716,1,A1,-2.981397802,0.6,all,H0_T_A1,H0_T,2_1,Low,10,5.11,0.789080618
20180716_A2_1,20180716,1,A2,-2.255957768,0.6,all,H0_T_A2,H0_T,2_1,Low,10,4.8881,0.48520155
20180716_A3_1,20180716,1,A3,-2.612595845,0.6,all,H0_T_A3,H0_T,2_1,Low,10,5.0461,0.646158985
20180716_A4_1,20180716,1,A4,-3.862597585,0.6,all,H1_T_A4,H1_T,2_1,Ambient,10,5.4484,0.513445918
20180716_A5_1,20180716,1,A5,-2.950899112,0.6,all,H1_T_A5,H1_T,2_1,Ambient,10,4.6701,0.484538601
20180716_A6_1,20180716,1,A6,-4.010106933,0.6,all,H1_T_A6,H1_T,2_1,Ambient,10,4.7848,0.41064659
20180716_B1_1,20180716,1,B1,-2.10459796,0.6,all,H0_B_B1,H0_B,2_1,Low,10,4.854,0.786722314
20180716_B2_1,20180716,1,B2,-2.158390396,0.6,all,H0_B_B2,H0_B,2_1,Low,10,4.6552,0.612257716
20180716_B3_1,20180716,1,B3,-2.139020936,0.6,all,H0_B_B3,H0_B,2_1,Low,10,4.8361,0.731635831
20180716_B4_1,20180716,1,B4,-2.507914719,0.6,all,H1_B_B4,H1_B,2_1,Ambient,10,5.2358,0.62373406
20180716_B5_1,20180716,1,B5,-1.981380908,0.6,all,H1_B_B5,H1_B,2_1,Ambient,10,4.8474,0.626882622
20180716_B6_1,20180716,1,B6,-3.072700107,0.6,all,H1_B_B6,H1_B,2_1,Ambient,10,4.8124,0.642795319
20180716_C1_1,20180716,1,C1,-1.298583559,0.6,all,H0_T_blank_C1,H0_T_blank,2_1,Low,10,NA,NA
20180716_C2_1,20180716,1,C2,-1.096667114,0.6,all,H0_T_blank_C2,H0_T_blank,2_1,Low,10,NA,NA
20180716_C3_1,20180716,1,C3,-0.759776116,0.6,all,H0_T_blank_C3,H0_T_blank,2_1,Low,10,NA,NA
20180716_C4_1,20180716,1,C4,-0.801247655,0.6,all,H1_T_blank_C4,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_C5_1,20180716,1,C5,-1.14626298,0.6,all,H1_T_blank_C5,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_C6_1,20180716,1,C6,-0.849012836,0.6,all,H1_T_blank_C6,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_D1_1,20180716,1,D1,-1.078460508,0.6,all,H0_B_blank_D1,H0_B_blank,2_1,Low,10,NA,NA
20180716_D2_1,20180716,1,D2,-1.128190079,0.6,all,H0_B_blank_D2,H0_B_blank,2_1,Low,10,NA,NA
20180716_D3_1,20180716,1,D3,-1.218015887,0.6,all,H0_B_blank_D3,H0_B_blank,2_1,Low,10,NA,NA
20180716_D4_1,20180716,1,D4,-0.98047493,0.6,all,H1_B_blank_D4,H1_B_blank,2_1,Ambient,10,NA,NA
20180716_D5_1,20180716,1,D5,-1.370285774,0.6,all,H1_B_blank_D5,H1_B_blank,2_1,Ambient,10,NA,NA
20180716_D6_1,20180716,1,D6,-1.209439681,0.6,all,H1_B_blank_D6,H1_B_blank,2_1,Ambient,10,NA,NA
20180716_A1_2,20180716,2,A1,-2.180365778,0.6,all,H2_T_A1,H2_T,2_1,Ambient,10,5.3568,0.578412348
20180716_A2_2,20180716,2,A2,-2.594084952,0.6,all,H2_T_A2,H2_T,2_1,Ambient,10,5.0663,0.632012843
20180716_A3_2,20180716,2,A3,-1.607366992,0.6,all,H2_T_A3,H2_T,2_1,Ambient,10,5.0571,0.632988406
20180716_A4_2,20180716,2,A4,-3.322258684,0.6,all,H3_T_A4,H3_T,2_1,Low,10,5.141,1.102219276
20180716_A5_2,20180716,2,A5,-4.616325475,0.6,all,H3_T_A5,H3_T,2_1,Low,10,5.1263,0.599313135
20180716_A6_2,20180716,2,A6,-2.655261551,0.6,all,H3_T_A6,H3_T,2_1,Low,10,5.555,0.805278282
20180716_B1_2,20180716,2,B1,-3.366890352,0.6,all,H2_B_B1,H2_B,2_1,Ambient,10,5.2332,0.633533617
20180716_B2_2,20180716,2,B2,-3.642022931,0.6,all,H2_B_B2,H2_B,2_1,Ambient,10,5.1857,0.707673347
20180716_B3_2,20180716,2,B3,-1.931290501,0.6,all,H2_B_B3,H2_B,2_1,Ambient,10,5.0895,0.666986798
20180716_B4_2,20180716,2,B4,-2.893878814,0.6,all,H3_B_B4,H3_B,2_1,Low,10,5.2077,0.357929555
20180716_B5_2,20180716,2,B5,-2.789326208,0.6,all,H3_B_B5,H3_B,2_1,Low,10,5.4425,0.692098781
20180716_B6_2,20180716,2,B6,-2.307397337,0.6,all,H3_B_B6,H3_B,2_1,Low,10,5.0739,0.559193755
20180716_C1_2,20180716,2,C1,-1.091508489,0.6,all,H2_T_blank_C1,H2_T_blank,2_1,Ambient,10,NA,NA
20180716_C2_2,20180716,2,C2,-1.562110285,0.6,all,H2_T_blank_C2,H2_T_blank,2_1,Ambient,10,NA,NA
20180716_C3_2,20180716,2,C3,-1.477082281,0.6,all,H2_T_blank_C3,H2_T_blank,2_1,Ambient,10,NA,NA
20180716_C4_2,20180716,2,C4,-1.112492287,0.6,all,H3_T_blank_C4,H3_T_blank,2_1,Low,10,NA,NA
20180716_C5_2,20180716,2,C5,-1.595243206,0.6,all,H3_T_blank_C5,H3_T_blank,2_1,Low,10,NA,NA
20180716_C6_2,20180716,2,C6,-1.383802692,0.6,all,H3_T_blank_C6,H3_T_blank,2_1,Low,10,NA,NA
20180716_D1_2,20180716,2,D1,-1.243303188,0.6,all,H2_B_blank_D1,H2_B_blank,2_1,Ambient,10,NA,NA
20180716_D2_2,20180716,2,D2,-1.018221155,0.6,all,H2_B_blank_D2,H2_B_blank,2_1,Ambient,10,NA,NA
20180716_D3_2,20180716,2,D3,-1.149922893,0.6,all,H2_B_blank_D3,H2_B_blank,2_1,Ambient,10,NA,NA
20180716_D4_2,20180716,2,D4,-1.176575689,0.6,all,H3_B_blank_D4,H3_B_blank,2_1,Low,10,NA,NA
20180716_D5_2,20180716,2,D5,-1.317104328,0.6,all,H3_B_blank_D5,H3_B_blank,2_1,Low,10,NA,NA
20180716_D6_2,20180716,2,D6,-1.195120413,0.6,all,H3_B_blank_D6,H3_B_blank,2_1,Low,10,NA,NA
20180719_A1_1,20180719,1,A1,-1.104611926,0.6,all,H0_T_A1,H0_T,5_1,Low,10,5.2944,0.311382295
20180719_A2_1,20180719,1,A2,-1.409628916,0.6,all,H0_T_A2,H0_T,5_1,Low,10,5.1528,0.550306339
20180719_A3_1,20180719,1,A3,-2.142614392,0.6,all,H0_T_A3,H0_T,5_1,Low,10,4.7914,0.455908909
20180719_A4_1,20180719,1,A4,-2.486083893,0.6,all,H1_T_A4,H1_T,5_1,Ambient,10,5.0174,0.801409481
20180719_A5_1,20180719,1,A5,-1.952178564,0.6,all,H1_T_A5,H1_T,5_1,Ambient,10,5.0243,0.601912332
20180719_A6_1,20180719,1,A6,-3.695640751,0.6,all,H1_T_A6,H1_T,5_1,Ambient,10,5.252,0.522592044
20180719_B1_1,20180719,1,B1,-1.295793161,0.6,all,H0_B_B1,H0_B,5_1,Low,10,4.8237,0.754307048
20180719_B2_1,20180719,1,B2,-1.241990468,0.6,all,H0_B_B2,H0_B,5_1,Low,10,4.9948,0.671066614
20180719_B3_1,20180719,1,B3,-2.708644766,0.6,all,H0_B_B3,H0_B,5_1,Low,10,4.7994,0.690766595
20180719_B4_1,20180719,1,B4,-3.389852088,0.6,all,H1_B_B4,H1_B,5_1,Ambient,10,5.0138,0.591599677
20180719_B5_1,20180719,1,B5,-2.706905188,0.6,all,H1_B_B5,H1_B,5_1,Ambient,10,5.1337,0.628958584
20180719_B6_1,20180719,1,B6,-2.063741996,0.6,all,H1_B_B6,H1_B,5_1,Ambient,10,4.9275,0.628126005
20180719_C1_1,20180719,1,C1,-0.974309871,0.6,all,H0_T_blank_C1,H0_T_blank,5_1,Low,10,NA,NA
20180719_C2_1,20180719,1,C2,-0.956763387,0.6,all,H0_T_blank_C2,H0_T_blank,5_1,Low,10,NA,NA
20180719_C3_1,20180719,1,C3,-0.877051626,0.6,all,H0_T_blank_C3,H0_T_blank,5_1,Low,10,NA,NA
20180719_C4_1,20180719,1,C4,-1.05310157,0.6,all,H1_T_blank_C4,H1_T_blank,5_1,Ambient,10,NA,NA
20180719_C5_1,20180719,1,C5,-0.752679824,0.6,all,H1_T_blank_C5,H1_T_blank,5_1,Ambient,10,NA,NA
20180719_C6_1,20180719,1,C6,-1.131460947,0.6,all,H1_T_blank_C6,H1_T_blank,5_1,Ambient,10,NA,NA
20180719_D1_1,20180719,1,D1,-1.243938139,0.6,all,H0_B_blank_D1,H0_B_blank,5_1,Low,10,NA,NA
20180719_D2_1,20180719,1,D2,-1.195142465,0.6,all,H0_B_blank_D2,H0_B_blank,5_1,Low,10,NA,NA
20180719_D3_1,20180719,1,D3,-1.057515568,0.6,all,H0_B_blank_D3,H0_B_blank,5_1,Low,10,NA,NA
20180719_D4_1,20180719,1,D4,-1.083488408,0.6,all,H1_B_blank_D4,H1_B_blank,5_1,Ambient,10,NA,NA
20180719_D5_1,20180719,1,D5,-1.161982915,0.6,all,H1_B_blank_D5,H1_B_blank,5_1,Ambient,10,NA,NA
20180719_D6_1,20180719,1,D6,-0.845136682,0.6,all,H1_B_blank_D6,H1_B_blank,5_1,Ambient,10,NA,NA
20180719_A1_2,20180719,2,A1,-2.155539219,0.6,all,H2_T_A1,H2_T,5_1,Ambient,10,5.2024,0.416551237
20180719_A2_2,20180719,2,A2,-1.939565349,0.6,all,H2_T_A2,H2_T,5_1,Ambient,10,4.743,0.679129017
