Sample.ID,Date,RUN,SDR_position,b1.Lpc,alpha,Notes,ID,tank,Day_Trial,Treat1_Treat2,number_indivs,mean_size,stdev_size
20180713_A1_1,20180713,1,A1,-2.180169218,0.4,all,prebasal,NA,NA,NA,5,4.445166667,NA
20180713_A2_1,20180713,1,A2,-2.580348093,0.4,all,prebasal,NA,NA,NA,5,5.0816,NA
20180713_A3_1,20180713,1,A3,-1.916355096,0.4,all,prebasal,NA,NA,NA,5,3.861,NA
20180713_A4_1,20180713,1,A4,-2.846998848,0.4,all,prebasal,NA,NA,NA,5,4.0126,NA
20180713_A5_1,20180713,1,A5,-1.257475832,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_A6_1,20180713,1,A6,-1.504970104,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_B1_prebasal,20180713,1,B1,-2.378541021,0.4,all,prebasal,prebasal,prebasal,NA,10,4.0948,NA
20180713_B2_prebasal,20180713,1,B2,-2.36999619,0.4,all,prebasal,prebasal,prebasal,NA,10,4.2301,NA
20180713_B3_prebasal,20180713,1,B3,-3.081662792,0.4,all,prebasal,prebasal,prebasal,NA,10,4.2933,NA
20180713_B4_prebasal,20180713,1,B4,-4.641982459,0.4,all,prebasal,prebasal,prebasal,NA,10,4.1941,NA
20180713_B5_1,20180713,1,B5,-1.630873469,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_B6_1,20180713,1,B6,-2.127245138,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_C1_1,20180713,1,C1,-2.535980984,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_C2_1,20180713,1,C2,-1.065814698,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_C3_1,20180713,1,C3,-1.019757257,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_C4_1,20180713,1,C4,-1.206851245,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_C5_1,20180713,1,C5,-1.288509634,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_C6_1,20180713,1,C6,-1.643214117,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_D1_1,20180713,1,D1,-2.347935219,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_D2_1,20180713,1,D2,-1.615279341,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_D3_1,20180713,1,D3,-1.177257343,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_D4_1,20180713,1,D4,-1.615471789,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_D5_1,20180713,1,D5,-1.642484361,0.4,all,blank,NA,NA,NA,NA,NA,NA
20180713_D6_1,20180713,1,D6,-1.171190747,0.4,all,blank,NA,NA,NA,NA,NA,NA
