Sample.ID,Date,RUN,SDR_position,b1.Lpc,alpha,Notes,ID,tank,Day_Trial,Treat1_Treat2,number_indivs,mean_size,stdev_size
20180716_A1_1,20180716,1,A1,-2.867505792,0.1,L%,H0_T_A1,H0_T,2_1,Low,10,5.11,0.789080618
20180716_A2_1,20180716,1,A2,-2.855938462,0.2,Lz is closest to peak density,H0_T_A2,H0_T,2_1,Low,10,4.8881,0.48520155
20180716_A3_1,20180716,1,A3,-2.612595845,0.1,"L% - high alpha value to combine 3 peaks to one - raw data \jumpy\""""",H0_T_A3,H0_T,2_1,Low,10,5.0461,0.646158985
20180716_A4_1,20180716,1,A4,-3.862597585,0.2,L%,H1_T_A4,H1_T,2_1,Ambient,10,5.4484,0.513445918
20180716_A5_1,20180716,1,A5,-4.146953955,0.2,"double peak, Lpc is on smaller of the two - break in O2 decline?",H1_T_A5,H1_T,2_1,Ambient,10,4.6701,0.484538601
20180716_A6_1,20180716,1,A6,-4.011165217,0.3,L% at start of trial,H1_T_A6,H1_T,2_1,Ambient,10,4.7848,0.41064659
20180716_B1_1,20180716,1,B1,-2.348028421,0.3,Leq closest to peak density,H0_B_B1,H0_B,2_1,Low,10,4.854,0.786722314
20180716_B2_1,20180716,1,B2,-2.232959503,0.3,L%,H0_B_B2,H0_B,2_1,Low,10,4.6552,0.612257716
20180716_B3_1,20180716,1,B3,-1.574483536,0.2,L% highest peak but at 20-30 mins end of trial,H0_B_B3,H0_B,2_1,Low,10,4.8361,0.731635831
20180716_B4_1,20180716,1,B4,-2.988112903,0.2,L%,H1_B_B4,H1_B,2_1,Ambient,10,5.2358,0.62373406
20180716_B5_1,20180716,1,B5,-2.094331679,0.2,L%,H1_B_B5,H1_B,2_1,Ambient,10,4.8474,0.626882622
20180716_B6_1,20180716,1,B6,-3.439987092,0.2,"double peak, Lpc in center of peak  - in 5-10min of 30m trial",H1_B_B6,H1_B,2_1,Ambient,10,4.8124,0.642795319
20180716_C1_1,20180716,1,C1,-1.105295306,0.2,of the peak! At end of 30 min trial CHECK THIS,H0_T_blank_C1,H0_T_blank,2_1,Low,10,NA,NA
20180716_C2_1,20180716,1,C2,-1.087925294,0.2,L%,H0_T_blank_C2,H0_T_blank,2_1,Low,10,NA,NA
20180716_C3_1,20180716,1,C3,-0.746522235,0.2,L%,H0_T_blank_C3,H0_T_blank,2_1,Low,10,NA,NA
20180716_C4_1,20180716,1,C4,-0.796328392,0.2,L%,H1_T_blank_C4,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_C5_1,20180716,1,C5,-1.147625004,0.2,L%,H1_T_blank_C5,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_C6_1,20180716,1,C6,-1.73759168,0.2,okay - inconsistancies in graph,H1_T_blank_C6,H1_T_blank,2_1,Ambient,10,NA,NA
20180716_D1_1,20180716,1,D1,-1.217195953,0.2,L%,H0_B_blank_D1,H0_B_blank,2_1,Low,10,NA,NA
20180716_D2_1,20180716,1,D2,-1.103775392,0.2,L%,H0_B_blank_D2,H0_B_blank,2_1,Low,10,NA,NA
20180716_D3_1,20180716,1,D3,-1.101030906,0.2,L%,H0_B_blank_D3,H0_B_blank,2_1,Low,10,NA,NA
20180716_D4_1,20180716,1,D4,-0.991351095,0.2,L%,H1_B_blank_D4,H1_B_blank,2_1,Ambient,10,NA,NA
