Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
19.07.18 18:41:49,0.03,215.2,195.98,320,349.78,245.8,216.02,327.83,333.39,220.16,207.39,323.68,323.22,190.33,218.51,336.64,326.9,201.67,291.53,332.92,322.76,219.34,302.28,328.75,322.76
19.07.18 18:42:04,0.28,211.9,191.94,318.63,346.95,243.67,208.21,326.9,332.46,219.34,205.34,322.76,322.3,187.92,216.44,334.78,326.44,200.45,284.43,332.46,321.84,216.85,298.24,328.29,320.46
19.07.18 18:42:19,0.53,208.21,187.52,317.26,345.54,241.98,202.08,325.98,331.07,218.51,203.3,321.84,320.46,185.91,215.61,332.46,325.52,198.82,273.86,331.07,320.46,215.2,295.1,326.44,319.55
19.07.18 18:42:34,0.78,205.34,184.31,316.8,343.19,241.13,196.79,325.52,330.14,218.09,202.08,320.92,320,184.31,216.44,331.53,325.06,198.42,264.71,331.07,319.55,212.72,293.76,325.98,318.63
19.07.18 18:42:49,1.03,202.48,179.92,314.97,342.25,238.17,193.15,323.68,328.75,216.85,201.26,320,318.63,182.71,216.44,329.21,324.14,197.61,259.08,329.68,318.17,210.67,289.3,324.6,316.8
19.07.18 18:43:04,1.28,200.04,175.55,313.61,340.38,236.06,189.93,323.22,327.36,216.44,199.64,319.09,317.71,181.52,215.2,327.83,323.68,196.39,254.35,328.75,316.8,208.21,285.31,323.22,315.43
19.07.18 18:43:19,1.53,197.61,171.2,312.7,338.98,233.95,186.72,321.84,326.9,215.61,198.42,318.17,316.8,180.72,214.37,326.44,323.22,195.98,250.49,327.36,315.89,206.57,282.22,322.3,314.52
19.07.18 18:43:34,1.78,195.58,167.65,311.79,338.04,232.69,183.91,320.92,325.98,214.37,196.39,317.71,316.34,179.92,212.72,325.98,321.84,195.58,246.23,326.44,314.97,204.52,279.57,321.38,313.15
19.07.18 18:43:49,2.03,193.15,163.33,310.88,336.18,230.17,177.53,320,325.06,213.96,195.18,316.8,315.43,177.14,211.49,324.6,321.38,194.37,242.82,325.06,313.61,203.3,277.37,320.46,311.79
19.07.18 18:44:04,2.28,189.93,159.81,309.97,334.78,228.5,173.57,319.09,324.6,213.14,193.56,316.34,314.97,174.76,209.44,323.22,320.92,193.15,239.43,324.6,312.7,201.67,275.61,319.09,310.88
19.07.18 18:44:20,2.55,187.52,156.7,309.06,333.85,226.82,170.8,318.63,323.68,212.72,192.75,315.89,314.52,172.38,208.21,322.76,320.46,191.54,236.9,323.68,312.7,200.45,272.55,318.63,309.97
19.07.18 18:44:35,2.8,184.71,153.59,308.15,332.92,224.74,167.65,317.71,323.22,211.49,191.54,314.97,313.61,170.01,206.16,321.38,319.09,188.72,234.79,322.3,310.88,199.23,270.8,317.26,308.61
19.07.18 18:44:50,3.05,181.92,152.43,307.25,331.07,223.07,166.08,316.8,322.3,210.67,189.93,314.52,312.7,167.26,204.93,320,318.63,185.51,233.53,321.38,310.42,198.01,269.49,316.8,307.7
19.07.18 18:45:05,3.3,179.52,149.72,306.8,329.68,221.83,164.9,315.89,321.38,209.44,188.32,314.06,312.24,165.29,204.12,319.09,317.71,183.11,231.85,320,309.51,195.98,266.88,315.43,306.34
19.07.18 18:45:20,3.55,177.14,147.79,305.89,329.21,221.41,164.12,316.34,321.38,208.62,187.52,313.61,312.24,163.33,201.26,319.09,317.26,180.32,230.59,320,309.06,195.58,264.71,314.97,305.89
19.07.18 18:45:35,3.8,175.15,145.86,305.44,328.75,219.75,162.55,314.97,320.92,207.8,185.51,312.7,311.79,160.99,198.42,317.71,317.26,177.14,228.92,319.09,308.61,193.56,262.54,313.61,304.99
