sample,mass,salinity,Sample.ID,Type, Notes
20180810_H0_T,60.9515,28.7,H0_T,heath_tray,
20180810_H0_B,60.275,28.7,H0_B,heath_tray,
20180810_H1_T,60.6814,28.72,H1_T,heath_tray,
20180810_H1_B,60.2486,28.76,H1_B,heath_tray,
20180810_H2_T,60.8076,28.77,H2_T,heath_tray,
20180810_H2_B,60.4985,28.74,H2_B,heath_tray,
20180810_H3_T,60.7883,28.67,H3_T,heath_tray,
20180810_H3_B,60.931,28.75,H3_B,heath_tray,
