Date,Day,run,vial_pos,SIZE,
20180807,0,1,A1,5.882,
20180807,0,1,A1,4.949,
20180807,0,1,A1,4.561,
20180807,0,1,A1,4.806,
20180807,0,1,A1,5.919,
20180807,0,1,A1,4.03,
20180807,0,1,A1,4.486,
20180807,0,1,A1,4.929,
20180807,0,1,A1,4.785,
20180807,0,1,A1,4.976,
20180807,0,1,A2,4.45,
20180807,0,1,A2,4.494,
20180807,0,1,A2,5.554,
20180807,0,1,A2,4.689,
20180807,0,1,A2,4.997,
20180807,0,1,A2,4.97,
20180807,0,1,A2,3.977,
20180807,0,1,A2,5.788,
20180807,0,1,A2,6.763,
20180807,0,1,A2,5.911,
20180807,0,1,A3,5.886,
20180807,0,1,A3,4.137,
20180807,0,1,A3,5.666,
20180807,0,1,A3,4.079,
20180807,0,1,A3,5.666,
20180807,0,1,A3,6.148,
20180807,0,1,A3,5.593,
20180807,0,1,A3,5.242,
20180807,0,1,A3,6.302,
20180807,0,1,A3,5.619,
20180807,0,1,A4,5.966,
20180807,0,1,A4,5.399,
20180807,0,1,A4,5.479,
20180807,0,1,A4,4.767,
20180807,0,1,A4,4.938,
20180807,0,1,A4,6.5,
20180807,0,1,A4,5.741,
20180807,0,1,A4,6.184,
20180807,0,1,A4,6.212,
20180807,0,1,A4,5.893,
20180807,0,1,A5,5.869,
20180807,0,1,A5,6.326,
20180807,0,1,A5,6.596,
20180807,0,1,A5,6.638,
20180807,0,1,A5,4.508,
20180807,0,1,A5,6.445,
20180807,0,1,A5,5.15,
20180807,0,1,A5,6.829,
20180807,0,1,A5,5.742,
20180807,0,1,A5,3.276,
20180807,0,1,A6,5.806,
20180807,0,1,A6,6.905,
20180807,0,1,A6,7.065,
20180807,0,1,A6,5.598,
20180807,0,1,A6,6.322,
20180807,0,1,A6,5.677,
20180807,0,1,A6,6.231,
20180807,0,1,A6,5.737,
20180807,0,1,A6,6.512,
20180807,0,1,A6,2.922,
20180807,0,1,B1,5.92,
20180807,0,1,B1,4.831,
20180807,0,1,B1,6.444,
20180807,0,1,B1,5.264,
20180807,0,1,B1,6.57,
20180807,0,1,B1,5.574,
20180807,0,1,B1,4.94,
20180807,0,1,B1,4.798,
20180807,0,1,B1,4.71,
20180807,0,1,B2,4.788,
20180807,0,1,B2,4.757,
20180807,0,1,B2,5.434,
20180807,0,1,B2,5.112,
20180807,0,1,B2,6.112,
20180807,0,1,B2,4.432,
20180807,0,1,B2,5.487,
20180807,0,1,B2,5.398,
20180807,0,1,B2,6.204,
20180807,0,1,B2,5.199,
20180807,0,1,B3,4.564,
20180807,0,1,B3,7.011,
20180807,0,1,B3,5.974,
20180807,0,1,B3,6.153,
20180807,0,1,B3,5.544,
20180807,0,1,B3,3.985,
20180807,0,1,B3,4.937,
20180807,0,1,B3,5.66,
20180807,0,1,B3,5.995,
20180807,0,1,B3,5.981,
20180807,0,1,B4,4.597,
20180807,0,1,B4,5.441,
20180807,0,1,B4,5.564,
20180807,0,1,B4,6.709,
20180807,0,1,B4,6.727,
20180807,0,1,B4,5.408,
20180807,0,1,B4,5.774,
20180807,0,1,B4,7.06,
20180807,0,1,B4,6.799,
20180807,0,1,B4,4.25,
20180807,0,1,B5,7.419,
20180807,0,1,B5,5.689,
20180807,0,1,B5,6.264,
20180807,0,1,B5,4.001,
20180807,0,1,B5,5.119,
20180807,0,1,B5,5.885,
