Date,ID,tank,SDR_position,Treat1_Treat2,rate_calc_day2,rate_calc_day5,rate_calc_day8,rate_calc_day10
20180716,H0_T_A2,H0_T,A2,Low,1.27999783,2.307922351,2.076006171,1.739112067
20180716,H0_T_A3,H0_T,A3,Low,1.041891496,1.524917971,1.847192357,1.223026923
20180716,H0_T_A1,H0_T,A1,Low,1.220733142,1.694816351,1.826305094,1.736552465
20180716,H1_T_A4,H1_T,A4,Ambient,0.865452642,1.386721927,1.525186201,1.301206997
20180716,H1_T_A5,H1_T,A5,Ambient,0.956260986,0.783605441,0.897840132,1.130384884
20180716,H1_T_A6,H1_T,A6,Ambient,0.957531778,1.021292765,1.351370124,1.052642202
20180716,H0_B_B1,H0_B,B1,Low,1.388305355,1.880403289,0.723794025,1.68235425
20180716,H0_B_B2,H0_B,B2,Low,1.566156607,2.304687785,1.261542817,1.369314568
20180716,H0_B_B3,H0_B,B3,Low,1.827771871,1.794730745,1.068860476,1.404161511
20180716,H1_B_B4,H1_B,B4,Ambient,1.083882108,2.084197959,1.084144897,1.371004911
20180716,H1_B_B5,H1_B,B5,Ambient,1.484455997,1.346098922,0.940983115,1.200436282
20180716,H1_B_B6,H1_B,B6,Ambient,1.065405444,1.708539249,1.109450039,1.208803399
20180716,H2_T_A1,H2_T,A1,Ambient,1.317344317,1.474016637,1.396579926,1.044917956
20180716,H2_T_A2,H2_T,A2,Ambient,0.990039631,1.774151226,1.539443209,1.190778053
20180716,H2_T_A3,H2_T,A3,Ambient,1.450496287,1.226095149,1.673616292,1.790331487
20180716,H3_T_A4,H3_T,A4,Low,0.99445267,1.771327188,1.299879245,1.147129062
20180716,H3_T_A5,H3_T,A5,Low,0.670213682,1.999901528,1.269031148,1.343847238
20180716,H3_T_A6,H3_T,A6,Low,1.154466626,1.996614456,1.454511806,1.200725414
20180716,H2_B_B1,H2_B,B1,Ambient,0.945580291,1.461317836,1.345907266,1.330937409
20180716,H2_B_B2,H2_B,B2,Ambient,0.98652624,1.462062274,1.145323633,1.202202108
20180716,H2_B_B3,H2_B,B3,Ambient,1.486142619,1.067983311,1.199733347,1.541190264
20180716,H3_B_B4,H3_B,B4,Low,1.077288186,1.464037393,1.073859786,1.211312488
20180716,H3_B_B5,H3_B,B5,Low,1.050353429,1.116990005,0.876641015,0.961165173
20180716,H3_B_B6,H3_B,B6,Low,1.299530829,1.541944773,1.148620164,1.459218254
