Method Data,,,,,,
Method name,Panopea,,,,,
0.38,49,-60.5,19.5,0.0075,,
0.388,50,-59.1,19.5,0.0075,,
0.3965,51,-57.5,19.5,0.007,,
0.404,52,-56,19.5,0.007,,
0.4125,53,-54.3,19.5,0.0075,,
0.421,54,-52.5,19.5,0.0075,,
0.4295,55,-50.4,19.5,0.0075,,
0.438,56,-47.6,19.5,0.0075,,
0.4465,57,-45.8,19.5,0.0075,,
0.454,58,-43.7,19.5,0.007,,
0.4625,59,-41.1,19.5,0.0075,,
0.471,60,-38.6,19.5,0.0075,,
0.479,61,-35.8,19.5,0.0075,,
0.4875,62,-32.7,19.5,0.0075,,
0.495,63,-29.6,19.5,0.007,,
0.5035,64,-26.1,19.5,0.0075,,
0.512,65,-22.4,19.5,0.0075,,
0.5205,66,-18.6,19.5,0.0075,,
0.529,67,-15,19.5,0.0075,,
0.5375,68,-11.8,19.5,0.007,,
0.545,69,-9.4,19.5,0.007,,
0.5535,70,-6.6,19.5,0.0075,,
0.562,71,-4.4,19.5,0.0075,,
0.57,72,-2.2,19.5,0.0075,,
0.5785,73,-0.1,19.5,0.0075,,
0.587,74,0.6,19.5,0.0075,,
0.5945,75,1.9,19.5,0.007,,
0.603,76,2.9,19.5,0.0075,,
0.6115,77,4.1,19.5,0.0075,,
0.62,78,5.1,19.5,0.0075,,
0.6285,79,6,19.5,0.0075,,
0.6365,80,6.9,19.5,0.0065,,
0.6445,81,7.7,19.5,0.0075,,
0.6525,82,8.7,19.5,0.0075,,
0.661,83,9.7,19.5,0.0075,,
0.6695,84,10.7,19.5,0.0075,,
0.678,85,11.6,19.5,0.0075,,
0.6865,86,12.5,19.5,0.007,,
0.694,87,13.4,19.5,0.007,,
0.7025,88,14.3,19.5,0.0075,,
0.711,89,15,19.5,0.0075,,
0.719,90,15.8,19.5,0.0075,,
0.7275,91,16.6,19.5,0.0075,,
0.736,92,17.4,19.5,0.007,,
0.7435,93,18.2,19.5,0.007,,
0.752,94,19.1,19.5,0.0075,,
0.7605,95,19.8,19.5,0.0075,,
0.769,96,20.6,19.5,0.0075,,
0.7775,97,21.3,19.5,0.0075,,
0.7855,98,22,19.5,0.0065,,
0.7935,99,22.8,19.5,0.0075,,
0.8015,100,23.5,19.5,0.0075,,
0.81,101,24.2,19.5,0.0075,,
0.8185,102,24.9,19.5,0.0075,,
0.827,103,25.7,19.5,0.0075,,
0.8355,104,26.3,19.5,0.0075,,
0.843,105,26.9,19.5,0.007,,
0.8515,106,27.6,19.5,0.0075,,
0.86,107,28.3,19.5,0.0075,,
0.8685,108,29.1,19.5,0.0075,,
0.8765,109,29.8,19.5,0.0075,,
0.885,110,30.4,19.5,0.0075,,
0.8925,111,31.3,19.5,0.007,,
0.901,112,32,19.5,0.0075,,
0.9095,113,32.6,19.5,0.0075,,
0.918,114,33.3,19.5,0.0075,,
0.9265,115,34,19.5,0.0075,,
0.935,116,34.8,19.5,0.0075,,
0.9425,117,37.6,19.5,0.007,,
0.951,118,38.2,19.5,0.0075,,
0.959,119,38.8,19.5,0.0075,,
0.9675,120,39.3,19.5,0.0075,,
0.976,121,39.6,19.5,0.007,,
0.9835,122,39.9,19.5,0.007,,
0.992,123,40.4,19.5,0.0075,,
1.0005,124,40.9,19.5,0.0075,,
1.009,125,41.4,19.5,0.0075,,
1.0175,126,42,19.5,0.0075,,
1.026,127,42.6,19.5,0.007,,
1.0335,128,43.2,19.5,0.007,,
1.042,129,44.3,19.5,0.0075,,
1.05,130,45.1,19.5,0.0075,,
1.0585,131,45.6,19.5,0.0075,,
1.067,132,46.2,19.5,0.0075,,
1.0755,133,46.9,19.5,0.007,,
1.083,134,47.5,19.5,0.007,,
1.0915,135,48.4,19.5,0.0075,,
1.1,136,49,19.5,0.0075,,
1.1085,137,49.6,19.5,0.0075,,
1.1165,138,50.2,19.5,0.0075,,
1.125,139,50.8,19.5,0.007,,
1.1325,140,51.5,19.5,0.007,,
1.141,141,52.2,19.5,0.0075,,
1.1495,142,52.9,19.5,0.0075,,
1.158,143,53.7,19.5,0.0075,,
1.1665,144,55.1,19.5,0.0075,,
1.175,145,55.8,19.5,0.007,,
1.1825,146,56.4,19.5,0.007,,
1.191,147,56.9,19.5,0.0075,,
1.199,148,58,19.5,0.0075,,
1.2075,149,58.8,19.5,0.0075,,
1.216,150,59.3,19.5,0.0075,,
1.2245,151,59.9,19.5,0.007,,
1.232,152,60.5,19.5,0.007,,
1.2405,153,61.2,19.5,0.0075,,
1.249,154,62.2,19.5,0.0075,,
1.2575,155,63.1,19.5,0.0075,,
1.266,156,63.9,19.5,0.0075,,
1.274,157,64.7,19.5,0.0065,,
1.2815,158,65.4,19.5,0.007,,
1.29,159,66.1,19.5,0.0075,,
1.2985,160,66.9,19.5,0.0075,,
1.307,161,67.7,19.5,0.0075,,
1.3155,162,68.5,19.5,0.0075,,
1.324,163,69.6,19.5,0.007,,
1.3315,164,70.7,19.5,0.007,,
1.34,165,71.6,19.5,0.0075,,
1.3485,166,72.3,19.5,0.0075,,
1.3565,167,73.1,19.5,0.0075,,
1.365,168,74.2,19.5,0.0075,,
1.3735,169,75.1,19.5,0.007,,
1.381,170,76,19.5,0.007,,
1.3895,171,77.4,19.5,0.0075,,
1.398,172,78.4,19.5,0.0075,,
1.4065,173,79.4,19.6,0.0075,,
1.415,174,80.5,19.5,0.0075,,
1.423,175,81.6,19.5,0.0065,,
1.431,176,82.9,19.5,0.0075,,
1.439,177,84.1,19.5,0.0075,,
1.4475,178,85.6,19.5,0.0075,,
1.456,179,86.8,19.5,0.0075,,
1.4645,180,88.3,19.6,0.0075,,
1.473,181,89.4,19.5,0.007,,
1.4805,182,90.7,19.6,0.007,,
1.489,183,92.2,19.5,0.0075,,
1.4975,184,93.6,19.6,0.0075,,
1.506,185,95.3,19.5,0.0075,,
1.514,186,96.8,19.6,0.0075,,
1.5225,187,98.3,19.5,0.0075,,
1.53,188,100.2,19.6,0.007,,
1.5385,189,102.4,19.6,0.0075,,
1.547,190,104.4,19.6,0.0075,,
1.5555,191,106.4,19.6,0.0075,,
1.564,192,108.8,19.6,0.0075,,
1.5715,193,111,19.6,0.007,,
1.58,194,113.6,19.6,0.0075,,
1.5885,195,116.2,19.6,0.0075,,
1.5965,196,119.2,19.6,0.0075,,
1.605,197,122.2,19.6,0.0075,,
1.6135,198,125.3,19.6,0.007,,
1.621,199,128.3,19.6,0.007,,
1.6295,200,131.7,19.6,0.0075,,
1.638,201,135.3,19.6,0.0075,,
1.6465,202,139.1,19.6,0.0075,,
1.655,203,142.4,19.6,0.0075,,
1.6635,204,145.9,19.6,0.007,,
1.671,205,149.1,19.6,0.007,,
1.6795,206,152.5,19.6,0.0075,,
1.6875,207,155.4,19.6,0.0075,,
1.696,208,158.4,19.6,0.0075,,
1.7045,209,161.3,19.6,0.0075,,
1.713,210,163.7,19.6,0.007,,
1.7205,211,166,19.6,0.007,,
1.729,212,168.3,19.6,0.0075,,
1.7375,213,170.5,19.6,0.0075,,
1.746,214,172.6,19.6,0.0075,,
1.754,215,174.6,19.6,0.0075,,
1.7625,216,176.6,19.6,0.0075,,
1.771,217,178.3,19.6,0.0075,,
1.7785,218,180,19.6,0.007,,
1.787,219,181.5,19.6,0.0075,,
1.7955,220,182.9,19.6,0.0075,,
1.804,221,184.3,19.6,0.0075,,
1.81,222,185,19.6,0.0065,,
1.81,462,190.3,19.6,0,,
1.8105,463,190.4,19.6,0.0005,,
1.812,464,190.3,19.6,0.0015,,
1.8145,465,190.5,19.6,0.0025,,
1.8185,466,190.7,19.6,0.0035,,
1.8245,467,191.1,19.6,0.0055,,
1.833,468,191.9,19.6,0.0075,,
1.8405,469,192.8,19.6,0.0075,,
1.849,470,193.7,19.6,0.0085,,
1.8575,471,194.6,19.6,0.0075,,
1.866,472,195.5,19.6,0.0075,,
1.874,473,196.4,19.6,0.0075,,
1.8825,474,197.2,19.6,0.0085,,
1.8905,475,198.1,19.6,0.008,,
1.8985,476,198.9,19.6,0.008,,
1.907,477,199.6,19.6,0.0075,,
1.9155,478,200.4,19.6,0.0075,,
1.924,479,201.2,19.6,0.0075,,
1.9325,480,201.8,19.6,0.0085,,
1.94,481,202.6,19.6,0.0075,,
1.9485,482,203.4,19.6,0.0085,,
1.957,483,204,19.6,0.0075,,
1.965,484,204.7,19.6,0.0075,,
1.9735,485,205.3,19.6,0.0075,,
1.981,486,205.8,19.6,0.0075,,
1.9895,487,206.5,19.6,0.0085,,
1.998,488,207.1,19.6,0.0085,,
2.0065,489,207.6,19.6,0.0075,,
2.015,490,208.2,19.6,0.0075,,
2.0235,491,208.8,19.6,0.0075,,
2.031,492,209.3,19.6,0.0075,,
2.0395,493,209.9,19.6,0.0085,,
2.0475,494,210.3,19.6,0.008,,
2.056,495,210.9,19.6,0.0075,,
2.0645,496,211.4,19.6,0.0075,,
2.073,497,211.9,19.6,0.0075,,
2.0805,498,212.4,19.6,0.0075,,
2.089,499,212.8,19.6,0.0085,,
2.0975,500,213.3,19.6,0.0075,,
2.106,501,213.8,19.6,0.0075,,
2.1145,502,214.3,19.6,0.0075,,
2.1225,503,214.6,19.6,0.0075,,
2.13,504,215.1,19.6,0.0075,,
2.1385,505,215.5,19.6,0.0085,,
2.147,506,215.9,19.6,0.0085,,
2.1555,507,216.4,19.6,0.0075,,
2.164,508,216.8,19.6,0.0075,,
2.1725,509,217.2,19.6,0.0075,,
2.18,510,217.6,19.6,0.0075,,
2.1885,511,218,19.6,0.0085,,
2.1965,512,218.3,19.6,0.008,,
2.205,513,218.7,19.6,0.0075,,
2.2135,514,219.1,19.6,0.0075,,
2.222,515,219.4,19.6,0.0075,,
2.2295,516,219.7,19.6,0.0075,,
2.238,517,220.1,19.6,0.0085,,
2.2465,518,220.5,19.6,0.0085,,
2.255,519,220.9,19.6,0.0075,,
2.263,520,221.2,19.6,0.0075,,
2.2715,521,221.6,19.6,0.0075,,
2.279,522,221.8,19.6,0.0075,,
2.2875,523,222.1,19.6,0.0085,,
2.296,524,222.5,19.6,0.0085,,
2.3045,525,222.8,19.6,0.0075,,
2.313,526,223.1,19.6,0.0075,,
2.3215,527,223.4,19.6,0.0075,,
2.329,528,223.8,19.6,0.0075,,
2.3375,529,224,19.6,0.0085,,
2.3455,530,224.3,19.6,0.008,,
2.354,531,224.6,19.6,0.0075,,
2.3625,532,225,19.6,0.0075,,
2.371,533,225.2,19.6,0.0075,,
2.3785,534,225.5,19.6,0.0075,,
2.387,535,225.8,19.6,0.0085,,
2.3955,536,226.1,19.6,0.0085,,
2.404,537,226.4,19.6,0.0075,,
2.4125,538,226.6,19.6,0.0075,,
2.4205,539,226.9,19.6,0.0075,,
2.4285,540,227.2,19.6,0.008,,
2.4365,541,227.5,19.6,0.008,,
2.445,542,227.7,19.6,0.0075,,
2.4535,543,228,19.6,0.0075,,
2.462,544,228.2,19.6,0.0075,,
2.4705,545,228.5,19.6,0.0085,,
2.478,546,228.8,19.6,0.0075,,
2.4865,547,229.1,19.6,0.0085,,
2.495,548,229.2,19.6,0.0075,,
2.5035,549,229.5,19.6,0.0075,,
2.5115,550,229.8,19.6,0.0075,,
2.5195,551,230,19.6,0.008,,
2.5275,552,230.3,19.6,0.008,,
2.536,553,230.4,19.6,0.0085,,
2.5445,554,230.7,19.6,0.0075,,
2.553,555,230.9,19.6,0.0075,,
2.5615,556,231.2,19.6,0.0075,,
2.57,557,231.3,19.6,0.0085,,
2.5775,558,231.6,19.6,0.0075,,
2.586,559,231.9,19.6,0.0085,,
2.594,560,232.1,19.6,0.0075,,
2.6025,561,232.2,19.6,0.0075,,
2.611,562,232.4,19.6,0.0075,,
2.6195,563,232.6,19.6,0.0075,,
2.627,564,232.9,19.6,0.0075,,
2.6355,565,233.1,19.6,0.0085,,
2.644,566,233.3,19.6,0.0075,,
2.6525,567,233.5,19.6,0.0075,,
2.6605,568,233.7,19.6,0.0075,,
2.669,569,233.9,19.6,0.0085,,
2.6765,570,234.2,19.6,0.0075,,
2.684,571,234.3,19.6,0.0075,,
2.689,572,234.5,19.6,0.0045,,
2.6895,573,234.7,19.7,0.0005,,
2.69,574,234.6,19.6,0.0005,,
2.6915,575,234.7,19.6,0.0015,,
2.6935,576,234.7,19.7,0.002,,
2.697,577,234.8,19.6,0.0035,,
2.701,578,234.8,19.6,0.0035,,
2.706,579,234.9,19.6,0.0045,,
2.71,580,235,19.6,0.0045,,
