sample,mass,salinity,Sample.ID,Type, Notes
20160802_H1,60.344,,H1,,
20160804_H1_A,59.24,,H1_A,,
20160804_H2_A,60.996,,H2_A,,
20160807_H2_B,59.0223,,H2_B,,
20160802_H2,60.6635,,H2,,
20160804_H2_B,60.6295,,H2_B,,
20160804_H1_B,60.3325,,H1_B,,
20160807_H1_B,59.2596,,H1_B,,
20160807_H1_A,59.8853,,H1_A,,
