sample,mass,salinity,Sample.ID,Type, Notes
20160807_H2_A,59.8292,,H2_A,,
20160728_H1_A.1,59.8196,,H1_A.1,,
20160728_H1_B_5,59.6877,,H1_B_5,,
20160809_H2_B,60.0916,,H2_B,,
20160728_H2_B,59.5446,,H2_B,,
20160728_H2_A.2,60.903,,H2_A.2,,
20160728_H1_A.2,60.2841,,H1_A.2,,
20160728_H2_A.1,60.8112,,H2_A.1,,
