sample,mass,salinity,Sample.ID,Type, Notes
20180805_JUNK,59.1176,29,JUNK,JUNK,
20180805_CRM1,59.0549,33.607,CRM1,CRM,Bottle #137-1095 
20180805_CRM2,59.3566,33.607,CRM2,CRM,Bottle #137-1095
