sample,mass,salinity,Sample.ID,Type
20180703_Junk_20180628_sump_water,60.8404,29.11,Junk_20180628_sump_water,Junk
20180703_CRM1,59.1825,33.481,CRM1,CRM
20180703_CRM2,59.5014,33.481,CRM2,CRM
