Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
16.07.18 19:08:17,0.05,234.37,214.79,320.46,327.36,250.92,220.16,354.98,325.98,249.64,223.49,341.31,330.6,222.66,236.9,318.17,322.76,257.79,244.1,326.9,314.06,244.1,237.74,331.99,317.26
16.07.18 19:08:32,0.3,232.27,212.31,319.09,325.98,248.78,216.85,352.61,324.6,247.08,218.51,339.44,330.6,219.75,234.79,317.26,322.76,255.21,241.13,325.06,313.61,242.4,233.95,331.07,314.97
16.07.18 19:08:47,0.55,230.17,209.85,318.63,324.6,246.23,215.61,350.72,323.22,245.37,211.9,337.57,328.29,218.09,232.69,316.8,321.84,252.63,238.17,323.68,310.88,240.28,232.27,331.99,314.97
16.07.18 19:09:02,0.8,227.66,207.8,317.71,323.22,244.1,213.96,349.3,321.38,243.25,208.21,336.18,326.44,216.02,231.01,316.8,320.46,250.92,236.48,322.3,310.88,237.32,230.59,323.22,312.24
16.07.18 19:09:17,1.05,225.16,205.75,317.26,321.84,242.82,212.31,347.42,320.46,241.55,203.71,335.25,325.52,213.55,228.92,313.61,319.55,247.93,233.53,320.92,309.51,236.06,228.5,328.75,311.33
16.07.18 19:09:32,1.3,222.24,203.71,316.8,320.92,239.86,210.26,345.54,319.09,239.86,201.67,334.78,324.14,211.9,226.82,314.06,317.71,245.37,231.85,319.55,308.15,234.37,226.82,319.55,309.51
16.07.18 19:09:47,1.55,220.16,202.08,315.89,319.55,236.9,209.03,344.6,318.17,238.17,196.39,334.78,323.22,210.67,225.99,312.24,316.8,244.1,230.59,318.63,309.97,232.69,224.32,325.06,308.15
16.07.18 19:10:02,1.8,217.68,200.45,314.97,318.17,234.79,207.39,343.19,316.34,236.48,191.54,333.39,321.84,208.21,224.32,312.7,315.89,241.98,228.08,317.71,305.89,231.01,222.24,320.46,306.34
16.07.18 19:10:17,2.05,216.02,198.42,314.52,318.17,233.53,206.57,342.25,316.34,235.21,189.13,332.92,320.92,207.39,223.07,312.24,314.97,240.7,226.41,316.8,308.15,229.75,220.58,319.55,306.34
16.07.18 19:10:32,2.3,213.96,196.79,314.06,316.34,232.27,205.34,340.38,314.97,233.53,188.72,331.99,320.46,206.16,221.41,310.88,314.97,239.01,224.74,315.89,304.99,228.08,219.34,320.46,304.54
16.07.18 19:10:47,2.55,212.31,194.77,313.15,315.43,229.75,203.3,339.44,313.61,231.85,187.12,330.6,319.09,204.12,219.34,311.33,313.61,236.9,223.07,314.52,305.89,225.57,217.68,313.15,302.73
16.07.18 19:11:02,2.8,210.67,193.15,313.61,314.52,228.5,201.67,338.51,313.61,230.59,187.12,330.14,318.17,203.71,218.09,309.51,313.15,234.37,221.41,313.61,304.09,223.91,216.02,317.26,301.83
16.07.18 19:11:17,3.05,208.62,191.14,312.24,314.06,226.82,200.04,337.11,312.24,228.92,186.32,328.29,317.26,201.67,216.85,309.97,312.7,231.85,219.34,312.7,304.09,221.41,214.79,312.24,300.03
16.07.18 19:11:32,3.3,206.98,189.13,311.79,313.15,225.57,198.01,336.18,311.33,227.66,185.11,327.83,316.8,200.04,215.2,308.15,312.24,230.17,217.26,311.79,301.83,220.16,213.96,314.06,300.48
16.07.18 19:11:47,3.55,204.93,187.52,311.33,311.33,223.91,196.39,335.25,309.97,225.99,183.91,326.9,315.43,198.42,213.55,307.25,310.42,227.66,216.02,310.88,302.28,218.09,213.96,311.79,298.24
16.07.18 19:12:02,3.8,203.3,185.51,310.88,311.33,222.66,195.18,334.78,309.97,225.16,184.71,326.44,315.43,196.39,212.31,307.7,309.97,226.41,214.37,309.97,300.93,216.44,212.72,309.06,299.13
16.07.18 19:12:17,4.05,201.67,183.51,310.88,310.42,221.83,193.56,333.85,309.51,223.91,185.51,325.98,314.97,194.77,210.67,306.34,309.06,224.74,212.72,309.06,300.93,214.37,213.14,310.42,296.44
16.07.18 19:12:32,4.3,200.04,181.52,309.97,310.42,220.58,191.54,332.92,308.61,222.66,185.11,325.06,314.06,192.75,209.03,307.25,308.61,223.07,211.08,308.61,299.58,212.31,212.31,305.89,296.44
16.07.18 19:12:47,4.55,198.42,179.52,309.51,309.51,218.92,189.53,331.53,308.15,221.41,184.31,324.14,313.15,189.93,208.21,304.99,308.15,220.99,209.03,307.25,299.13,211.08,211.49,307.25,294.21
16.07.18 19:13:02,4.8,197.61,177.93,308.61,308.61,217.68,187.52,331.07,307.25,219.75,182.71,323.22,312.7,187.52,206.16,305.44,307.25,219.75,206.57,306.8,299.13,208.62,210.67,304.54,293.76
16.07.18 19:13:17,5.05,195.98,175.95,308.15,307.7,216.85,185.51,329.68,306.8,218.51,181.52,322.76,311.33,185.11,204.12,304.99,306.8,218.92,204.93,305.89,297.79,207.8,209.85,304.99,291.98
16.07.18 19:13:32,5.3,193.56,174.76,308.15,307.25,214.79,183.51,329.21,306.34,217.26,181.52,322.3,311.33,183.11,202.89,304.09,306.8,217.26,203.71,305.44,298.69,206.16,209.03,303.63,291.98
16.07.18 19:13:47,5.55,191.14,172.78,307.25,306.34,213.14,181.52,328.29,304.99,215.2,181.12,320.92,310.42,180.72,201.26,304.09,305.44,215.61,202.08,303.63,297.34,204.52,207.8,300.48,290.64
16.07.18 19:14:02,5.8,189.93,171.2,306.8,304.99,211.49,179.92,327.36,304.09,213.55,181.12,320.46,309.97,179.13,200.45,302.28,304.99,214.37,201.26,303.18,296.44,202.48,206.16,300.93,290.19
16.07.18 19:14:17,6.05,188.72,170.01,306.8,304.54,210.26,178.73,325.98,303.63,212.31,180.32,320,308.61,177.14,199.64,303.63,304.54,213.14,200.86,302.28,295.1,199.64,205.75,297.79,288.42
16.07.18 19:14:32,6.3,187.92,168.44,306.34,304.54,207.8,177.53,326.44,303.18,210.67,179.92,319.55,308.61,175.95,198.42,300.93,303.63,211.49,199.64,302.28,295.55,198.42,204.52,298.69,287.08
16.07.18 19:14:47,6.55,187.12,167.26,305.44,304.09,206.57,176.34,325.98,302.73,209.03,179.92,319.09,308.15,174.36,197.61,302.73,303.63,210.67,198.42,301.83,294.65,196.79,204.12,296.89,286.2
