Date,RUN,SDR_position,Lpc,Leq,Lz,alpha
20190116,1,A1,-5.722982805,-5.722982805,-5.722982805,0.4
20190116,1,B1,-2.597805751,-2.860922659,-2.395811189,0.4
20190116,1,C1,-0.685442543,-0.689299358,-0.689299358,0.4
20190116,1,D1,-2.188256993,-2.204811828,-2.204811828,0.4
20190116,1,A2,-1.440236766,-1.513686672,-1.627613321,0.4
20190116,1,B2,-1.586973679,-1.77415311,-1.77415311,0.4
20190116,1,C2,-1.979454545,-1.649819887,-1.649819887,0.4
20190116,1,D2,-2.472061906,-2.479279233,-2.472583673,0.4
20190116,1,A3,-4.738296435,-5.02841115,-5.02841115,0.4
20190116,1,B3,-0.954220633,-0.942196569,-0.862071146,0.4
20190116,1,C3,-1.685535714,-1.710688525,-1.710688525,0.4
20190116,1,D3,-1.851746149,-1.860272947,-1.860272947,0.4
20190116,1,A4,-2.630269298,-2.742604836,-2.975602401,0.4
20190116,1,B4,-2.353363643,-2.506931092,-2.506931092,0.4
20190116,1,C4,-0.748908051,-0.727804878,-0.727804878,0.4
20190116,1,D4,-2.752704789,-2.752704789,-2.752704789,0.4
20190116,1,A5,-2.553374898,-2.366749142,-2.550339676,0.4
20190116,1,B5,-3.2682341,-3.361823954,-3.361823954,0.4
20190116,1,C5,-1.149087706,-1.259560021,-1.259560021,0.4
20190116,1,D5,-1.35835206,-1.35835206,-1.27431878,0.4
20190116,1,A6,-2.720853485,-2.30472605,-2.30472605,0.4
20190116,1,B6,-1.750940705,-1.774659341,-1.825654299,0.4
20190116,1,C6,-2.098935441,-3.909491436,-3.909491436,0.4
20190116,1,D6,-3.273258127,-3.355594747,-3.355594747,0.4
20190116,2,A1,-4.1266605,-4.10628195,-6.480527132,0.4
20190116,2,B1,-2.740398704,-2.740398704,-2.740398704,0.4
20190116,2,C1,-2.209253589,-2.396073969,-3.039495495,0.4
20190116,2,D1,-3.352633091,-3.069302064,-3.069302064,0.4
20190116,2,A2,-2.664587002,-2.664587002,-2.048662021,0.4
20190116,2,B2,-1.80250661,-2.574851989,-2.574851989,0.4
20190116,2,C2,-3.653808491,-3.681225973,-2.197050193,0.4
20190116,2,D2,-3.420255923,-3.420255923,-4.475186776,0.4
20190116,2,A3,-4.351371155,-6.577836735,-6.964138125,0.4
20190116,2,B3,-3.468470937,-3.472940533,-3.547428571,0.4
20190116,2,C3,-2.575926886,-2.435718337,-2.230989547,0.4
20190116,2,D3,-3.549445378,-3.502877735,-3.502877735,0.4
20190116,2,A4,-2.65199815,-2.718109333,-7.148404858,0.4
20190116,2,B4,-1.55497167,-1.182476548,-1.137133133,0.4
20190116,2,C4,-2.727360177,-2.274226939,-2.274226939,0.4
20190116,2,D4,-3.127773475,-2.204986867,-2.204986867,0.4
20190116,2,A5,-2.490735277,-2.279714822,-2.279714822,0.4
20190116,2,B5,-3.802094911,-4.353194004,-4.353194004,0.4
20190116,2,C5,-7.719234522,-7.759829303,-7.523790349,0.4
20190116,2,D5,-3.044865865,-3.230459934,-3.230459934,0.4
20190116,2,A6,-3.395981239,-3.543237012,-3.697589161,0.4
20190116,2,B6,-3.152857143,-2.493693694,-2.493693694,0.4
20190116,2,C6,-3.106352564,-2.973967611,-2.973967611,0.4
20190116,2,D6,-2.822942918,-2.622585366,-2.622585366,0.4
