Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
07.08.18 17:56:12,0.03,201.3,208.08,318.59,319.04,232.39,237.32,313.67,317.69,203.69,255.22,304.79,350.03,154.4,175.82,321.73,310.55,177.37,235.26,318.14,312.78,199.71,206.08,322.63,301.7
07.08.18 17:56:27,0.28,199.32,204.48,315.46,315.46,229.52,235.26,311.44,315.01,201.3,249.78,303.02,349.1,150.63,173.5,320.83,309.66,173.5,231.98,316.35,311,195.75,202.49,319.04,299.49
07.08.18 17:56:42,0.53,197.73,203.29,312.78,313.67,225.84,233.21,310.11,312.33,200.11,246.02,301.25,347.26,147.99,172.35,319.94,308.77,169.65,230.75,315.01,310.55,192.21,200.11,316.8,295.54
07.08.18 17:56:57,0.78,195.75,201.3,310.11,311,223.81,231.16,308.33,310.11,198.92,242.7,300.37,344.95,146.49,169.65,318.14,307.44,166.2,227.88,313.67,309.22,188.28,198.13,314.12,293.36
07.08.18 17:57:12,1.03,194.18,199.71,307.44,308.77,221.37,226.25,307,307.89,197.34,239.8,299.05,342.65,144.62,166.58,316.8,307,162.38,224.62,312.33,307.89,183.59,196.15,312.33,291.61
07.08.18 17:57:27,1.28,193.39,198.13,304.79,307,219.34,224.21,305.23,306.11,196.15,237.74,297.74,338.98,142.75,164.67,315.46,305.23,160.47,223.4,310.55,306.56,181.25,194.96,310.11,290.74
07.08.18 17:57:42,1.53,191.42,196.54,302.14,304.34,216.92,222.59,304.34,303.46,195.36,234.44,295.98,336.69,141.63,162.76,313.67,303.9,158.57,221.37,309.22,304.79,178.14,193.39,307.44,288.56
07.08.18 17:57:57,1.78,190.24,195.36,300.37,303.02,215.31,221.78,303.02,302.14,194.57,231.98,295.54,333.5,141.26,162,312.33,303.46,154.4,219.75,307.89,303.9,175.82,191.03,305.23,287.69
07.08.18 17:58:12,2.03,188.67,194.18,298.18,299.93,213.29,219.75,301.7,300.37,193.39,229.11,294.23,330.32,140.51,160.85,310.55,301.7,150.63,217.73,305.67,302.14,173.5,188.67,303.02,285.96
07.08.18 17:58:28,2.3,187.5,193.39,295.54,298.61,212.09,218.54,300.81,299.05,192.6,226.66,292.92,327.6,139.39,160.09,308.77,300.37,147.24,216.52,305.67,301.25,171.58,187.5,301.25,284.66
07.08.18 17:58:59,2.82,185.93,191.42,291.61,294.67,207.68,216.11,298.61,295.54,191.42,221.37,291.61,321.28,136.79,158.95,305.67,298.18,144.99,213.29,302.14,298.18,168.5,185.54,297.74,281.63
07.08.18 17:59:13,3.05,185.15,191.03,290.3,293.36,205.68,214.1,297.74,293.79,190.24,218.94,290.3,318.59,134.94,158.57,303.9,296.86,143.5,211.28,301.7,296.86,166.58,184.37,295.98,280.77
