Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
13.07.18 20:36:40,0.03,300.23,296.63,327.21,323.51,297.53,275.72,342.61,331.85,300.68,288.57,323.97,336.51,297.98,305.21,329.99,325.82,321.66,332.32,330.45,334.65,341.2,327.21,139.68,168.12
13.07.18 20:36:55,0.28,298.43,292.15,326.74,323.05,297.53,274.4,335.11,330.45,298.43,288.13,323.05,333.71,294.83,303.85,329.99,324.43,320.74,331.85,330.92,334.65,336.51,326.74,140.07,164.97
13.07.18 20:37:10,0.53,296.18,289.02,324.89,321.66,294.39,271.77,336.05,327.67,296.63,286.34,322.12,330.92,292.15,302.49,327.67,322.58,320.28,330.45,326.74,332.78,336.98,325.82,139.3,161.03
13.07.18 20:37:25,0.78,294.83,285.45,323.51,320.28,293.04,270.01,335.11,325.82,294.83,284.12,320.74,328.6,289.91,301.59,327.21,320.74,318.9,328.13,327.21,331.85,331.38,324.43,138.53,161.43
13.07.18 20:37:40,1.03,292.59,281.9,323.05,318.9,294.39,268.26,333.71,324.43,293.04,283.23,320.28,326.74,286.34,300.68,325.82,319.36,317.98,327.21,326.28,331.38,331.38,323.51,132.79,159.07
13.07.18 20:37:55,1.28,292.59,279.25,321.66,318.44,290.36,266.08,329.53,322.58,292.59,280.58,319.36,325.82,285.01,300.23,324.89,317.98,317.52,326.28,323.97,329.99,328.6,322.58,133.17,156.73
13.07.18 20:38:10,1.53,289.91,275.28,320.74,317.98,289.91,264.77,329.53,321.66,289.91,278.81,318.44,322.58,283.68,298.88,324.43,316.61,316.61,324.89,324.89,329.06,326.74,321.66,133.56,153.99
13.07.18 20:38:25,1.78,289.02,272.2,319.82,317.06,290.8,263.47,329.99,322.12,289.91,276.6,318.44,321.2,282.79,297.98,323.97,316.15,316.15,324.43,323.05,328.13,324.89,321.2,130.89,152.44
13.07.18 20:38:40,2.03,286.79,268.26,318.9,315.69,285.9,261.73,328.6,319.36,287.23,273.96,317.06,320.28,279.69,297.08,323.51,314.77,314.77,323.05,323.05,327.21,322.58,319.82,129.37,151.27
13.07.18 20:38:55,2.28,285.45,265.64,318.44,315.23,285.9,260.86,324.43,317.52,286.79,272.2,316.15,319.82,278.81,296.63,322.12,313.4,313.4,322.12,322.12,326.28,321.2,319.36,128.61,150.49
13.07.18 20:39:10,2.53,284.57,262.16,317.06,314.77,286.79,259.99,324.43,316.15,285.45,270.45,315.69,318.44,277.04,295.28,321.2,312.94,313.4,321.66,321.2,325.82,317.98,318.44,129.37,150.11
13.07.18 20:39:25,2.78,282.79,259.13,316.61,313.86,281.9,259.13,325.35,315.23,285.01,268.7,314.77,317.52,275.72,293.94,321.66,312.03,311.57,320.74,321.66,325.35,318.9,317.52,124.82,149.33
