Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
16.07.18 21:11:19,0.03,307.7,No Sensor,No Sensor,306.8,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,299.58,No Sensor,No Sensor,304.54
16.07.18 21:11:34,0.28,305.44,No Sensor,No Sensor,304.54,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,297.34,No Sensor,No Sensor,300.93
16.07.18 21:11:49,0.53,303.63,No Sensor,No Sensor,302.73,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,294.65,No Sensor,No Sensor,298.69
16.07.18 21:12:04,0.78,301.38,No Sensor,No Sensor,300.93,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,292.42,No Sensor,No Sensor,295.1
16.07.18 21:12:19,1.03,300.03,No Sensor,No Sensor,299.58,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,291.08,No Sensor,No Sensor,293.76
16.07.18 21:12:34,1.28,298.24,No Sensor,No Sensor,297.34,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,288.86,No Sensor,No Sensor,290.64
16.07.18 21:12:49,1.53,296.89,No Sensor,No Sensor,296.44,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,287.08,No Sensor,No Sensor,287.97
16.07.18 21:13:04,1.78,295.55,No Sensor,No Sensor,294.65,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,285.75,No Sensor,No Sensor,286.2
16.07.18 21:13:19,2.03,294.21,No Sensor,No Sensor,293.31,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,284.43,No Sensor,No Sensor,283.54
16.07.18 21:13:34,2.28,292.42,No Sensor,No Sensor,291.08,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,282.22,No Sensor,No Sensor,280.45
16.07.18 21:13:49,2.53,290.19,No Sensor,No Sensor,290.19,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,280.45,No Sensor,No Sensor,276.93
16.07.18 21:14:04,2.78,289.75,No Sensor,No Sensor,288.42,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,278.69,No Sensor,No Sensor,274.74
16.07.18 21:14:19,3.03,288.42,No Sensor,No Sensor,287.08,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,277.37,No Sensor,No Sensor,272.11
16.07.18 21:14:34,3.28,287.08,No Sensor,No Sensor,285.75,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,276.49,No Sensor,No Sensor,269.06
16.07.18 21:14:49,3.53,285.75,No Sensor,No Sensor,284.43,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,274.3,No Sensor,No Sensor,266.01
16.07.18 21:15:04,3.78,284.43,No Sensor,No Sensor,282.66,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,272.99,No Sensor,No Sensor,262.97
16.07.18 21:15:19,4.03,283.1,No Sensor,No Sensor,281.33,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,271.24,No Sensor,No Sensor,259.52
16.07.18 21:15:34,4.28,281.77,No Sensor,No Sensor,280.45,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,269.93,No Sensor,No Sensor,257.79
16.07.18 21:15:49,4.53,280.89,No Sensor,No Sensor,278.69,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,269.06,No Sensor,No Sensor,254.35
16.07.18 21:16:04,4.78,280.01,No Sensor,No Sensor,277.37,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,No Sensor,267.75,No Sensor,No Sensor,251.78
