Date/Time,Time/Min.,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6,Error
11.08.18 20:04:00,0.05,168.88,212.09,300.81,303.9,178.14,213.69,304.79,299.05,158.95,225.84,298.61,299.93,163.9,213.29,298.18,297.74,168.88,217.32,305.67,311.44,185.93,237.74,305.23,307,
11.08.18 20:04:15,0.3,167.35,209.68,300.37,302.58,175.82,211.68,303.9,297.3,153.27,224.21,297.74,298.18,161.62,211.68,296.86,296.42,164.29,215.31,304.79,310.11,183.59,235.67,303.9,306.11,
11.08.18 20:04:30,0.55,167.73,206.88,299.05,302.14,173.12,210.48,303.02,295.98,148.37,222.99,295.98,297.3,158.95,210.08,295.98,295.11,160.85,213.29,303.46,308.77,181.25,233.21,303.02,305.23,
11.08.18 20:04:45,0.8,159.33,205.28,298.18,300.81,171.58,208.88,302.14,294.67,143.87,222.18,295.98,296.42,156.3,208.08,295.54,294.23,158.95,211.68,302.14,307.44,179.31,231.98,301.7,303.9,
11.08.18 20:05:00,1.05,158.19,203.29,296.86,299.49,168.88,206.48,301.25,293.79,140.14,221.78,295.11,295.54,153.65,206.48,294.23,292.92,156.67,210.08,301.7,306.11,176.98,229.93,300.37,302.58,
11.08.18 20:05:15,1.3,154.4,201.3,296.42,298.18,167.73,204.48,300.37,292.92,138.28,220.56,294.23,294.67,151,205.28,293.79,292.05,154.02,207.68,301.25,304.79,173.89,228.29,299.05,301.25,
11.08.18 20:05:30,1.55,152.51,199.32,295.11,297.3,166.58,201.7,299.05,291.61,133.83,219.75,293.36,293.36,147.99,202.89,292.48,291.17,151.76,205.68,299.49,303.9,170.81,226.66,297.74,299.93,
11.08.18 20:05:45,1.8,152.51,198.13,294.67,296.86,165.82,200.9,298.61,291.17,131.98,219.75,292.92,292.92,146.12,202.49,292.48,290.74,149.87,202.89,299.49,302.58,169.27,225.03,296.42,299.05,
11.08.18 20:06:00,2.05,147.99,197.34,293.79,295.98,164.67,198.92,297.74,290.3,129.76,218.94,292.05,292.05,144.25,201.3,291.61,289.87,147.99,200.9,299.05,301.7,166.97,222.99,295.54,298.18,
11.08.18 20:06:15,2.3,148.37,194.96,293.36,294.67,163.9,197.73,296.86,289.43,126.45,218.54,291.17,291.17,142.38,200.51,290.74,289,145.74,198.13,297.74,300.37,165.05,220.97,293.36,296.42,
11.08.18 20:06:30,2.55,147.62,193.39,292.48,294.23,162.76,197.34,297.3,288.56,123.52,218.13,291.61,290.3,140.88,199.32,290.74,288.56,143.87,195.75,297.3,299.49,163.52,219.34,293.36,295.98,
11.08.18 20:06:45,2.8,145.37,191.81,292.05,292.92,162,196.15,296.42,287.69,120.96,216.92,290.74,289,139.02,197.73,289.87,287.69,141.63,193.78,297.3,299.05,161.23,217.73,291.17,294.67,
11.08.18 20:07:00,3.05,143.87,190.63,291.17,292.48,160.47,194.96,295.54,287.26,118.04,215.71,290.3,288.56,138.28,197.34,289.43,286.82,139.77,192.21,296.42,297.74,158.95,216.11,290.3,292.92,
