sample,mass,salinity,Sample.ID,Type
20180711_H3_B,59.1495,28.63,H2_B,Heath_tray
20180711_H1_B,60.5853,28.61,H0_T,Heath_tray
20180711_H0_B,60.9549,28.50,H1_T,Heath_tray
20180711_H2_B,60.3809,28.60,H0_B,Heath_tray
20180711_spawn_tank,59.8549,28.90,H3_T,
20180711_T6,58.7030,28.51,H1_B,
20180711_T7,59.8204,28.62,H2_T,
20180711_T9,59.9436,28.65,H3_B,
20180711_inflow_sump,59.1404,28.59,inflow_sump,Sump
