sample,mass,salinity,Sample.ID,Type, Notes
20180809_H3_T,59.9319,28.39,H3_T,heath_tray,
20180809_H3_B,60.8972,28.37,H3_B,heath_tray,
20180809_H2_B,59.9586,28.38,H2_B,heath_tray,
20180809_H2_T,60.2305,28.4,H2_T,heath_tray,
20180809_H0_T,59.3157,28.27,H0_T,heath_tray,
20180809_H1_T,60.5992,28.35,H1_T,heath_tray,
20180809_H1_B,60.8238,28.29,H1_B,heath_tray,
20180809_H0_B,60.7224,28.35,H0_B,heath_tray,
