"","Date.Time","TMP_T2","pH_T2","ORP","Sal","TMP_T4","pH_T4","Temp_T5","pH_T5","TMP_T3","pH_T3"
"4",2018-06-24 00:00:00,"16.0","7.58","465","23.4","16.2","8.02","16.5","8.04","16.1","7.71"
"5",2018-06-24 00:10:00,"16.0","7.58","465","23.4","16.2","8.02","16.4","8.04","16.1","7.71"
"6",2018-06-24 00:20:00,"16.0","7.58","465","23.4","16.2","8.02","16.4","8.04","16.1","7.71"
"7",2018-06-24 00:30:00,"16.0","7.58","465","23.4","16.2","8.02","16.4","8.04","16.1","7.71"
"8",2018-06-24 00:40:00,"16.0","7.58","465","23.4","16.2","8.02","16.4","8.04","16.1","7.71"
"9",2018-06-24 00:50:00,"16.0","7.58","465","23.4","16.2","8.02","16.4","8.04","16.1","7.71"
"10",2018-06-24 01:00:00,"16.0","7.58","465","23.4","16.2","8.02","16.4","8.04","16.1","7.71"
"11",2018-06-24 01:10:00,"16.0","7.58","465","23.4","16.2","8.02","16.4","8.04","16.1","7.71"
"12",2018-06-24 01:20:00,"16.0","7.58","465","23.4","16.2","8.02","16.4","8.04","16.1","7.71"
"13",2018-06-24 01:30:00,"16.0","7.58","465","23.4","16.2","8.02","16.4","8.04","16.1","7.71"
"14",2018-06-24 01:40:00,"16.0","7.58","465","23.4","16.2","8.02","16.4","8.04","16.1","7.71"
"15",2018-06-24 01:50:00,"16.0","7.58","465","23.4","16.2","8.02","16.4","8.04","16.1","7.71"
"16",2018-06-24 02:00:00,"16.0","7.58","465","23.4","16.3","8.02","16.4","8.04","16.1","7.71"
"17",2018-06-24 02:10:00,"16.0","7.58","466","23.4","16.3","8.01","16.4","8.04","16.1","7.71"
"18",2018-06-24 02:20:00,"16.0","7.58","466","23.4","16.3","8.01","16.4","8.04","16.2","7.71"
"19",2018-06-24 02:30:00,"16.0","7.58","466","23.4","16.3","8.02","16.4","8.04","16.2","7.71"
"20",2018-06-24 02:40:00,"16.0","7.57","466","23.4","16.3","8.02","16.4","8.04","16.2","7.71"
"21",2018-06-24 02:50:00,"16.0","7.57","466","23.4","16.3","8.02","16.4","8.04","16.2","7.71"
"22",2018-06-24 03:00:00,"16.0","7.57","466","23.4","16.3","8.01","16.4","8.04","16.2","7.71"
"23",2018-06-24 03:10:00,"16.0","7.57","466","23.4","16.3","8.01","16.4","8.04","16.2","7.71"
"24",2018-06-24 03:20:00,"16.0","7.57","466","23.4","16.3","8.01","16.4","8.04","16.2","7.70"
"25",2018-06-24 03:30:00,"16.0","7.57","466","23.4","16.3","8.02","16.4","8.04","16.2","7.71"
"26",2018-06-24 03:40:00,"16.0","7.57","466","23.4","16.3","8.02","16.4","8.04","16.2","7.71"
"27",2018-06-24 03:50:00,"16.0","7.57","466","23.4","16.3","8.02","16.4","8.04","16.3","7.70"
"28",2018-06-24 04:00:00,"16.0","7.57","466","23.4","16.3","8.02","16.4","8.04","16.3","7.71"
"29",2018-06-24 04:10:00,"16.0","7.57","466","23.4","16.3","8.02","16.4","8.04","16.3","7.70"
"30",2018-06-24 04:20:00,"16.0","7.57","466","23.4","16.4","8.02","16.4","8.04","16.3","7.70"
"31",2018-06-24 04:30:00,"16.0","7.57","466","23.4","16.4","8.02","16.4","8.04","16.3","7.71"
"32",2018-06-24 04:40:00,"16.0","7.57","466","23.4","16.4","8.02","16.4","8.04","16.3","7.71"
"33",2018-06-24 04:50:00,"16.0","7.57","466","23.4","16.4","8.02","16.4","8.04","16.3","7.71"
"34",2018-06-24 05:00:00,"16.0","7.57","466","23.4","16.4","8.02","16.4","8.04","16.3","7.71"
"35",2018-06-24 05:10:00,"16.0","7.57","466","23.4","16.4","8.02","16.5","8.04","16.3","7.71"
"36",2018-06-24 05:20:00,"16.0","7.57","466","23.4","16.4","8.02","16.4","8.04","16.3","7.71"
"37",2018-06-24 05:30:00,"16.0","7.57","466","23.4","16.4","8.03","16.5","8.04","16.3","7.70"
"38",2018-06-24 05:40:00,"16.0","7.57","466","23.4","16.5","8.02","16.5","8.04","16.4","7.71"
"39",2018-06-24 05:50:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.4","7.71"
"40",2018-06-24 06:00:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.4","7.71"
"41",2018-06-24 06:10:00,"16.0","7.57","466","23.4","16.5","8.02","16.5","8.04","16.4","7.71"
"42",2018-06-24 06:20:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.4","7.71"
"43",2018-06-24 06:30:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.4","7.71"
"44",2018-06-24 06:40:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.5","7.71"
"45",2018-06-24 06:50:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.5","7.71"
"46",2018-06-24 07:00:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.5","7.71"
"47",2018-06-24 07:10:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.5","7.71"
"48",2018-06-24 07:20:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.5","7.71"
"49",2018-06-24 07:30:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.5","7.71"
"50",2018-06-24 07:40:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.5","7.71"
"51",2018-06-24 07:50:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.5","7.71"
"52",2018-06-24 08:00:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.5","7.71"
"53",2018-06-24 08:10:00,"16.0","7.57","466","23.4","16.5","8.03","16.5","8.04","16.5","7.71"
