sample,mass,salinity,Sample.ID,Type
20180708_Junk,59.8212,29,Junk_sump,Junk
20180708_CRM1,59.4845,33.481,CRM1,CRM
20180708_CRM2,59.9168,33.481,CRM2,CRM
