sample,mass,salinity,Sample.ID,Type, Notes
20160716_T2_A,59.4112,,T2_A,,
20160716_T1_B,59.9034,,T1_B,,
20160716_T1_A,60.9402,,T1_A,,
20160716_T2_B,59.2301,,T2_B,,
20160718_H2,59.4807,,H2,,
20160718_H1,59.7136,,H1,,
20160718_H1,60.8897,,H1,,
20160718_H2,60.427,,H2,,
20160719_H2,60.0171,,H2,,
