sample,mass,salinity,Sample.ID,Type, Notes
20180723_JUNK,60.338,29,JUNK,JUNK,
20180723_CRM1,59.232,33.481,CRM1,CRM,Bottle #168-0158
20180723_CRM2,59.0274,33.481,CRM2,CRM,Bottle #168-0158
