sample,mass,salinity,Sample.ID,Type
20180704_Junk_sump,59.867,28.48,Junk_sump,Junk
20180704_CRM1,59.8974,33.481,CRM1,CRM
20180704_CRM2,59.789,33.481,CRM2,CRM
