"SampleID","TA","Mass"
"20180703_T9",2063.53644626007,60.8948
"20180703_H0_low",2044.30144868431,60.7806
"20180703_H1_control",2058.66030904977,60.9274
"20180703_H2_control",2050.72829779294,60.3862
"20180703_T0_low",2055.74724671184,60.1703
"20180703_T2_control",2055.93388265182,60.2607
"20180703_T1_control",2060.13943635685,60.2688
