sample,mass,salinity,Sample.ID,Type, Notes
20180804_H0_B,60.6816,29.24,H0_B,heath_tray,
20180804_H0_T,60.3173,29.36,H0_T,heath_tray,
20180804_H1_B,60.3971,29.4,H1_B,heath_tray,
20180804_H1_T,59.929,29.38,H1_T,heath_tray,
20180804_H2_B,60.2673,29.33,H2_B,heath_tray,
20180804_H2_T,60.6661,29.37,H2_T,heath_tray,
20180804_H3_T,59.7887,29.39,H3_T,heath_tray,
20180804_H3_B,60.1291,29.38,H3_B,heath_tray,
20180804_spawn_tank,60.4059,29.36,spawn_tank,tank,
