"","numDF","denDF","F.value","p.value"
"(Intercept)",1,711,37807.858879847,0
"Init.Trt",1,2,15.3514078961281,0.0593961630329207
"Sec.Trt",1,4,9.46803276979921,0.0370389678003143
"Init.Trt:Sec.Trt",1,4,0.162593384882328,0.707403609036913
