"","numDF","denDF","F.value","p.value"
"(Intercept)",1,78,393.108821019171,0
"Init.treat",1,3,5.32039292666044,0.104355531271406
"Sec.treat",1,6,1.48546523381846,0.268661911097878
"Init.treat:Sec.treat",1,6,0.953374234911639,0.366570508462647
