"","numDF","denDF","F.value","p.value"
"(Intercept)",1,90,359.696983791782,0
"Init.treat",1,90,7.33251370613872,0.00810415895595806
"Day",1,2,0.906090082069634,0.441618331355768
"Init.treat:Day",1,90,0.114733312880985,0.735607354193596
