"","numDF","denDF","F.value","p.value"
"(Intercept)",1,949,61109.817398201,0
"treatment",1,949,0.00149605663451151,0.969154538042505
"Day",1,2,8.23151200301924,0.103046561967679
"treatment:Day",1,949,0.183464368072422,0.668509961488043
