sample,mass,salinity,Sample.ID,Type
20180711_H3_B,59.1495,NA,H2_B,Heath_tray
20180711_H1_B,60.5853,NA,H0_T,Heath_tray
20180711_H0_B,60.9549,NA,H1_T,Heath_tray
20180711_H2_B,60.3809,NA,H0_B,Heath_tray
20180711_spawn_tank,59.8549,NA,H3_T,
20180711_T6,58.7030,NA,H1_B,
20180711_T7,59.8204,NA,H2_T,
20180711_T9,59.9436,NA,H3_B,
20180711_inflow_sump,59.1404,NA,inflow_sump,Sump
