"","Date.Time","TMP_T0","pH_T0","Sal","TMP_T2","pH_T2","Temp_T3","pH_T3","TMP_T1","pH_T1"
"4",2018-07-15 00:00:00,"16.0","7.20","26.0","16.2","7.70","16.3","7.19","16.3","7.81"
"5",2018-07-15 00:10:00,"15.9","7.20","26.0","16.2","7.70","16.2","7.20","16.2","7.81"
"6",2018-07-15 00:20:00,"15.9","7.21","26.0","16.1","7.70","16.2","7.17","16.2","7.80"
"7",2018-07-15 00:30:00,"15.8","7.20","26.0","16.1","7.70","16.2","7.19","16.2","7.80"
"8",2018-07-15 00:40:00,"15.8","7.20","25.9","16.1","7.70","16.2","7.21","16.2","7.80"
"9",2018-07-15 00:50:00,"15.8","7.21","25.9","16.1","7.70","16.1","7.18","16.1","7.80"
"10",2018-07-15 01:00:00,"15.8","7.20","25.9","16.0","7.70","16.1","7.20","16.1","7.80"
"11",2018-07-15 01:10:00,"15.7","7.20","25.9","16.0","7.70","16.1","7.18","16.1","7.80"
"12",2018-07-15 01:20:00,"15.7","7.21","25.8","16.0","7.70","16.1","7.18","16.1","7.80"
"13",2018-07-15 01:30:00,"15.7","7.20","25.8","16.0","7.70","16.0","7.20","16.0","7.80"
"14",2018-07-15 01:40:00,"15.7","7.20","25.8","15.9","7.70","16.0","7.19","16.0","7.80"
"15",2018-07-15 01:50:00,"15.7","7.21","25.8","15.9","7.70","16.0","7.20","16.0","7.80"
"16",2018-07-15 02:00:00,"15.6","7.20","25.8","15.9","7.70","16.0","7.19","16.0","7.80"
"17",2018-07-15 02:10:00,"15.6","7.21","25.7","15.8","7.70","16.0","7.18","16.0","7.80"
"18",2018-07-15 02:20:00,"15.6","7.21","25.7","15.8","7.69","15.9","7.20","15.9","7.80"
"19",2018-07-15 02:30:00,"15.6","7.18","25.7","15.8","7.69","15.9","7.18","15.9","7.80"
"20",2018-07-15 02:40:00,"15.5","7.19","25.7","15.8","7.69","15.8","7.18","15.8","7.80"
"21",2018-07-15 02:50:00,"15.5","7.21","25.7","15.8","7.69","15.8","7.20","15.8","7.79"
"22",2018-07-15 03:00:00,"15.5","7.21","25.7","15.7","7.69","15.8","7.17","15.8","7.79"
"23",2018-07-15 03:10:00,"15.5","7.19","25.7","15.7","7.69","15.8","7.19","15.8","7.79"
"24",2018-07-15 03:20:00,"15.5","7.20","25.7","15.7","7.69","15.8","7.21","15.8","7.79"
"25",2018-07-15 03:30:00,"15.5","7.21","25.7","15.7","7.69","15.8","7.18","15.8","7.79"
"26",2018-07-15 03:40:00,"15.4","7.19","25.7","15.7","7.69","15.7","7.20","15.7","7.79"
"27",2018-07-15 03:50:00,"15.4","7.20","25.7","15.6","7.69","15.7","7.19","15.7","7.79"
"28",2018-07-15 04:00:00,"15.4","7.21","25.7","15.6","7.69","15.7","7.17","15.7","7.79"
"29",2018-07-15 04:10:00,"15.3","7.20","25.6","15.6","7.69","15.7","7.20","15.7","7.79"
"30",2018-07-15 04:20:00,"15.3","7.20","25.6","15.6","7.69","15.7","7.18","15.7","7.79"
"31",2018-07-15 04:30:00,"15.3","7.21","25.6","15.6","7.69","15.7","7.17","15.6","7.79"
"32",2018-07-15 04:40:00,"15.3","7.20","25.6","15.6","7.69","15.6","7.20","15.6","7.79"
"33",2018-07-15 04:50:00,"15.3","7.21","25.5","15.5","7.69","15.6","7.19","15.6","7.79"
"34",2018-07-15 05:00:00,"15.2","7.20","25.5","15.5","7.69","15.6","7.18","15.6","7.79"
"35",2018-07-15 05:10:00,"15.2","7.20","25.4","15.5","7.69","15.6","7.21","15.6","7.79"
"36",2018-07-15 05:20:00,"15.2","7.21","25.4","15.5","7.69","15.6","7.18","15.6","7.79"
"37",2018-07-15 05:30:00,"15.2","7.20","25.4","15.5","7.69","15.6","7.20","15.6","7.79"
"38",2018-07-15 05:40:00,"15.2","7.21","25.4","15.5","7.69","15.5","7.18","15.5","7.79"
"39",2018-07-15 05:50:00,"15.2","7.20","25.4","15.5","7.69","15.5","7.19","15.5","7.79"
"40",2018-07-15 06:00:00,"15.2","7.20","25.4","15.5","7.69","15.5","7.20","15.5","7.79"
"41",2018-07-15 06:10:00,"15.1","7.21","25.5","15.4","7.69","15.5","7.18","15.5","7.79"
"42",2018-07-15 06:20:00,"15.1","7.20","25.4","15.4","7.69","15.5","7.18","15.5","7.79"
"43",2018-07-15 06:30:00,"15.1","7.21","25.4","15.4","7.69","15.5","7.20","15.5","7.79"
"44",2018-07-15 06:40:00,"15.0","7.19","25.4","15.3","7.69","15.5","7.17","15.4","7.79"
"45",2018-07-15 06:50:00,"15.0","7.19","25.4","15.3","7.69","15.4","7.17","15.4","7.79"
"46",2018-07-15 07:00:00,"15.0","7.20","25.4","15.3","7.69","15.4","7.20","15.4","7.79"
"47",2018-07-15 07:10:00,"15.0","7.21","25.4","15.3","7.69","15.4","7.16","15.4","7.79"
"48",2018-07-15 07:20:00,"15.0","7.19","25.4","15.3","7.69","15.3","7.18","15.3","7.79"
"49",2018-07-15 07:30:00,"15.0","7.20","25.3","15.3","7.69","15.3","7.20","15.3","7.78"
"50",2018-07-15 07:40:00,"15.0","7.22","25.3","15.3","7.69","15.3","7.19","15.3","7.78"
"51",2018-07-15 07:50:00,"14.9","7.19","25.3","15.3","7.69","15.3","7.19","15.3","7.78"
"52",2018-07-15 08:00:00,"14.9","7.19","25.2","15.2","7.69","15.3","7.20","15.3","7.78"
