"","Date.Time","TMP_T1","pH_T1","ORP","Sal","TMP_T2","pH_T2","Temp_T3","pH_T3","TMP_T5","pH_T5"
"4",2018-05-17 00:00:00,"17.2","7.81","434","22.6","-5.7","2.15","-5.7","7.20","17.6","8.21"
"5",2018-05-17 00:10:00,"17.2","7.81","435","22.7","-5.7","2.15","-5.7","7.19","17.6","8.21"
"6",2018-05-17 00:20:00,"17.2","7.81","435","22.7","-5.7","2.15","-5.7","7.18","17.5","8.21"
"7",2018-05-17 00:30:00,"17.2","7.81","435","22.6","-5.7","2.15","-5.7","7.16","17.5","8.21"
"8",2018-05-17 00:40:00,"17.1","7.81","435","22.6","-5.7","2.15","-5.7","7.14","17.5","8.21"
"9",2018-05-17 00:50:00,"17.1","7.81","435","22.5","-5.7","2.15","-5.7","7.13","17.5","8.21"
"10",2018-05-17 01:00:00,"17.1","7.81","435","22.5","-5.7","2.15","-5.7","7.11","17.5","8.21"
"11",2018-05-17 01:10:00,"17.1","7.81","435","22.5","-5.7","2.15","-5.7","7.10","17.4","8.21"
"12",2018-05-17 01:20:00,"17.1","7.81","435","22.5","-5.7","2.15","-5.7","7.09","17.4","8.21"
"13",2018-05-17 01:30:00,"17.0","7.81","435","22.6","-5.7","2.15","-5.7","7.07","17.3","8.21"
"14",2018-05-17 01:40:00,"17.0","7.81","435","22.6","-5.7","2.15","-5.7","7.06","17.3","8.21"
"15",2018-05-17 01:50:00,"17.0","7.81","435","22.6","-5.7","2.15","-5.7","7.05","17.3","8.21"
"16",2018-05-17 02:00:00,"17.0","7.81","435","22.6","-5.7","2.15","-5.7","7.04","17.3","8.21"
"17",2018-05-17 02:10:00,"17.0","7.81","435","22.5","-5.7","2.15","-5.7","7.03","17.3","8.21"
"18",2018-05-17 02:20:00,"17.0","7.81","435","22.5","-5.7","2.15","-5.7","7.02","17.3","8.21"
"19",2018-05-17 02:30:00,"16.9","7.81","435","22.5","-5.7","2.15","-5.7","7.00","17.3","8.21"
"20",2018-05-17 02:40:00,"16.9","7.81","435","22.5","-5.7","2.15","-5.7","6.99","17.3","8.21"
"21",2018-05-17 02:50:00,"16.9","7.81","435","22.5","-5.7","2.15","-5.7","6.98","17.3","8.21"
"22",2018-05-17 03:00:00,"16.8","7.81","435","22.5","-5.7","2.15","-5.7","6.97","17.2","8.21"
"23",2018-05-17 03:10:00,"16.8","7.81","435","22.5","-5.7","2.15","-5.7","6.96","17.2","8.21"
"24",2018-05-17 03:20:00,"16.8","7.81","436","22.4","-5.7","2.15","-5.7","6.95","17.2","8.21"
"25",2018-05-17 03:30:00,"16.8","7.81","436","22.4","-5.7","2.15","-5.7","6.93","17.2","8.21"
"26",2018-05-17 03:40:00,"16.8","7.81","436","22.4","-5.7","2.15","-5.7","6.92","17.2","8.21"
"27",2018-05-17 03:50:00,"16.8","7.81","436","22.3","-5.7","2.15","-5.7","6.91","17.2","8.21"
"28",2018-05-17 04:00:00,"16.8","7.81","436","22.5","-5.7","2.15","-5.7","6.90","17.2","8.21"
"29",2018-05-17 04:10:00,"16.7","7.81","436","22.5","-5.7","2.15","-5.7","6.89","17.1","8.21"
"30",2018-05-17 04:20:00,"16.7","7.81","436","22.5","-5.7","2.15","-5.7","6.88","17.1","8.21"
"31",2018-05-17 04:30:00,"16.7","7.81","436","22.4","-5.7","2.15","-5.7","6.87","17.1","8.21"
"32",2018-05-17 04:40:00,"16.7","7.81","436","22.5","-5.7","2.15","-5.7","6.86","17.1","8.21"
"33",2018-05-17 04:50:00,"16.7","7.81","436","22.4","-5.7","2.15","-5.7","6.85","17.1","8.21"
"34",2018-05-17 05:00:00,"16.7","7.81","436","22.4","-5.7","2.15","-5.7","6.84","17.1","8.21"
