mVTris,TTris
-78.3,14
-77.8,14.6
-77.3,15
-76.7,15.4
-76.4,15.7
-76.1,16.2
-75.8,16.4
-75.5,16.7
-75.3,17
-75,17.4
-74.7,18
-73.9,18.7
-73.7,19
-73,19.4
-72.5,20.1
