mVTris,TTris
-76.1,16
-75.6,16.5
-75.3,16.8
-75,17.2
-74.4,17.5
-74.1,18
-73.6,18.4
-73.1,18.7
-72.8,19
-72.4,19.4
-72.1,19.6
-71.6,20
