mVTris,TTris
-82.9,11.8
-82.3,12.2
-81.5,13
-80.6,13.7
-79,14.5
-78.7,14.8
-78.5,15.1
-77.9,15.6
-77.6,16
-77,16.5
-76.6,16.8
-75.7,17.4
-75.2,18
-74.5,18.5
-73.9,19
