sample,mass,salinity,Sample.ID,Type, Notes
20180731_JUNK,60.5379,29,JUNK,JUNK,
20180731_CRM1,59.1042,33.481,CRM1,CRM,Bottle #168-0158
20180731_CRM2,59.4037,33.481,CRM2,CRM,Bottle #168-0158
