sample,mass,salinity,Sample.ID,Type, Notes
20180808_JUNK,59.0097,29,JUNK,JUNK,
20180808_CRM1,59.1379,33.607,CRM1,CRM,Bottle #137-1095 
20180808_CRM2,59.1612,33.607,CRM2,CRM,Bottle #137-1095
