Date,time,Sample.ID,milliliters,seconds,LPM,Notes,Period
20180715,15:55,H2_B,17.2,1.88,548.9361702,,OA_exp_Day_1
20180715,15:55,H3_T,13.5,1.94,417.5257732,adjusted,OA_exp_Day_1
20180715,15:55,H3_B,25,1.5,1000,adjusted,OA_exp_Day_1
20180715,16:00,H3_T,20,2.14,560.7476636,adjusted,OA_exp_Day_1
20180715,16:00,H3_B,16.7,1.9,527.3684211,adjusted,OA_exp_Day_1
20180716,9:50,H0_T,18.4,1.86,593.5483871,adjusted,OA_exp_Day_2
20180716,9:50,H0_B,18,2.73,395.6043956,adjusted,OA_exp_Day_2
20180716,9:50,H1_T,22.8,2.14,639.2523364,adjusted,OA_exp_Day_2
20180716,9:50,H1_B,17.5,4.55,230.7692308,adjusted,OA_exp_Day_2
20180716,9:50,H2_T,24,2.02,712.8712871,adjusted,OA_exp_Day_2
20180716,9:50,H2_B,16.5,3.13,316.2939297,adjusted,OA_exp_Day_2
20180716,9:50,H3_T,22,2.01,656.7164179,adjusted,OA_exp_Day_2
20180716,9:50,H3_B,19.5,4.99,234.4689379,adjusted,OA_exp_Day_2
20180716,12:00,H0_T,23.5,3.63,388.4297521,,OA_exp_Day_2
20180716,12:00,H0_B,23.7,3.16,450,,OA_exp_Day_2
20180716,12:00,H1_T,21,3.06,411.7647059,adjusted,OA_exp_Day_2
20180716,12:00,H1_B,25,1.8,833.3333333,adjusted,OA_exp_Day_2
20180716,12:00,H2_T,23,2.5,552,,OA_exp_Day_2
20180716,12:00,H2_B,23,2.7,511.1111111,,OA_exp_Day_2
20180716,12:00,H3_T,18.8,3.4,331.7647059,,OA_exp_Day_2
20180716,12:00,H3_B,18.2,2.77,394.2238267,,OA_exp_Day_2
20180717,9:50,H0_T,22.5,2.4,562.5,adjusted,OA_exp_Day_3
20180717,9:50,H0_B,22.5,3.83,352.4804178,adjusted,OA_exp_Day_3
20180717,9:50,H1_T,17.5,4.33,242.4942263,adjusted,OA_exp_Day_3
20180717,9:50,H1_B,20.5,2.03,605.91133,adjusted,OA_exp_Day_3
20180717,9:50,H2_T,23.5,2.94,479.5918367,,OA_exp_Day_3
20180717,9:50,H2_B,20,2.58,465.1162791,,OA_exp_Day_3
20180717,9:50,H3_T,20,2.76,434.7826087,,OA_exp_Day_3
20180717,9:50,H3_B,19.5,2.09,559.8086124,,OA_exp_Day_3
20180717,11:00,H0_T,22.5,3.67,367.8474114,adjusted,OA_exp_Day_3
20180717,11:00,H0_B,20.2,2.02,600,adjusted,OA_exp_Day_3
20180717,11:00,H1_T,23.5,2.86,493.006993,,OA_exp_Day_3
20180717,11:00,H1_B,21.8,3.27,400,,OA_exp_Day_3
20180717,11:00,H2_T,23,2.81,491.1032028,,OA_exp_Day_3
